CPU COOLER,PRICE,Inventory,cooler_fan_rpm,cooler_color
Deepcool ASSASSIN II 70.08 CFM Fluid Dynamic Bearing,4050,1,300 - 1400 RPM,Black
Corsair iCUE H115i RGB Pro XT 63 CFM Liquid,11350,1,2200 RPM,Black
ARCTIC Freezer 34 eSports DUO,27400,1,200 - 2100 RPM,Black
Thermalright Venomous X RT Rev.SB-E 53.3 CFM,21350,1,700 - 1500 RPM,Black
NZXT Kraken X62 Rev 2 98.17 CFM Liquid,14250,1,500 - 1800 RPM,Black
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION 58.54 CFM Liquid,29000,1,800 - 1900 RPM,Black
ID-COOLING ZOOMFLOW 240X SNOW 62 CFM Liquid,26150,1,700 - 1500 RPM,Black
ARCTIC Liquid Freezer II 360 RGB 48.8 CFM Liquid,24500,1,200 - 1800 RPM,Black
Noctua NH-D15 chromax.black 82.52 CFM,14750,1,300 - 1500 RPM,Black
Deepcool GAMMAXX 400 Blue 74.34 CFM,3250,1,900 - 1500 RPM,Black
Noctua NH-L9x65 33.84 CFM,16450,1,600 - 2500 RPM,Black
ARCTIC Liquid Freezer II 420 72.8 CFM Liquid,28700,1,200 - 1700 RPM,Black
Asus ROG Strix LC 240 80.95 CFM Liquid,18850,1,800 - 2500 RPM,Black
Cooler Master i71C RGB 37 CFM Rifle Bearing,13350,1,650 - 1800 RPM,Black
Corsair iCUE H170i ELITE CAPELLIX Liquid,11350,1,2000 RPM,Black
ARCTIC Freezer 34 eSports,22800,1,200 - 2100 RPM,Black
Corsair H100i RGB PLATINUM 75 CFM Liquid,19100,1,2400 RPM,Black
Deepcool GAMMAXX GT 29.5 CFM,5550,1,500 - 1500 RPM,Black
ID-COOLING PINKFLOW 240 55.2 CFM Liquid,24300,1,900 - 2000 RPM,Black
Cooler Master Hyper 212 RGB Black Edition 57.3 CFM,12650,1,650 - 2000 RPM,Black
Noctua NH-L9a-AM4 chromax.black 33.8 CFM,14350,1,600 - 2500 RPM,Black
be quiet! Shadow Rock Slim 67.8 CFM Rifle Bearing,19900,1,1400 RPM,Black
Lian Li GALAHAD AIO 360 RGB 69.17 CFM Liquid,15550,0,800 - 1900 RPM,Black
Intel E97379-001,15300,0,1200 - 2800 RPM,Black
ARCTIC Alpine 12,1850,0,100 - 2000 RPM,Black
Cooler Master Hyper 212 EVO 82.9 CFM Sleeve Bearing,11050,0,600 - 2000 RPM,Black
Thermalright Le Grand Macho RT 73.6 CFM,15400,0,300 - 1300 RPM,Black
NZXT Kraken X53 73.11 CFM Liquid,15450,0,500 - 2000 RPM,Black
NZXT Kraken Z73 73.11 CFM Liquid,22900,0,500 - 1800 RPM,Black
ARCTIC Alpine 23 CO,2900,0,100 - 2000 RPM,Black
EK EK-AIO Basic 360 77 CFM Liquid,21850,0,550 - 2200 RPM,Black
Corsair iCUE H100i RGB PRO XT 75 CFM Liquid,23700,0,2400 RPM,Black
be quiet! Pure Loop 120 Liquid,19750,0,0,Black
Corsair H105 73 CFM Liquid,18550,0,800 - 2700 RPM,Black
Noctua NH-D15S chromax.black 82.51 CFM,17350,0,300 - 1500 RPM,Black
ID-COOLING ZOOMFLOW 240X ARGB 62 CFM Liquid,22550,0,700 - 1500 RPM,Black
Corsair H100x 57.2 CFM Liquid,11700,0,1700 RPM,Black
Cooler Master Hyper 212 Black Edition 42 CFM,13800,0,650 - 2000 RPM,Black
Cooler Master Hyper 212 LED Turbo (Red) 66.3 CFM,14300,0,300 - 1600 RPM,Black
Deepcool CASTLE 240EX WHITE 64.4 CFM Liquid,22050,0,500 - 1800 RPM,White / Black
Scythe FUMA 2 51.17 CFM,18050,0,300 - 1200 RPM,Black / Silver
Corsair H60 (2018) 57.2 CFM Liquid,20900,0,1700 RPM,Black
ARCTIC Liquid Freezer II 240 RGB 48.8 CFM Liquid,25450,0,200 - 1800 RPM,Black
Scythe SCSMZ-2100 55.55 CFM,15700,0,300 - 2500 RPM,Black
Cooler Master MasterLiquid 120 66.7 CFM Liquid,15100,0,650 - 2000 RPM,Black
ARCTIC Liquid Freezer II 360 56.3 CFM Liquid,18450,0,800 - 2000 RPM,Black
Corsair iCUE H115i ELITE CAPELLIX 97 CFM Liquid,16800,0,2000 RPM,Black
NZXT Kraken Z53 73.11 CFM Liquid,26500,0,500 - 2000 RPM,Black
Cooler Master MasterLiquid ML240L RGB 66.7 CFM Liquid,24700,0,650 - 2000 RPM,Black
Fractal Design Lumen S36 56 CFM Liquid,22800,0,500 - 2000 RPM,Black
Gigabyte AORUS WATERFORCE X 280 89.18 CFM Liquid,23800,0,2300 RPM,Black
Noctua NH-D15 chromax.black 82.52 CFM,14750,0,300 - 1500 RPM,Black
Scythe Mugen 5 PCGH Edition 43.03 CFM,14850,0,300 - 800 RPM,Black
Lian Li GALAHAD AIO 240 RGB 69.17 CFM Liquid,20600,0,800 - 1900 RPM,Black
Thermaltake Water 3.0 240 ARGB Sync 56.45 CFM Liquid,19400,0,500 - 1500 RPM,Black
