Video Card,Video Card Price,gpu_chipset,gpu_memory,gpu_core_clock,gpu_boostclock,gpu_color
MSI GeForce RTX 3090 24 GB GAMING X TRIO,360000,GeForce RTX 3090,24 GB,1395 MHz,Black,335 mm
MSI GeForce GTX 960 4 GB GAMING,36500,GeForce GTX 960,4 GB,1241 MHz,1304 MHz,Black / Red
PNY GeForce RTX 2070 8 GB XLR8 Gaming Overclocked Edition,132000,GeForce RTX 2070,8 GB,1410 MHz,1710 MHz,Black
PowerColor Radeon RX 6600 XT 8 GB Red Devil,86000,Radeon RX 6600 XT,8 GB,1968 MHz,2607 MHz,Black
Asus Radeon RX 480 4 GB DUAL,50500,Radeon RX 480,4 GB,1120 MHz,1320 MHz,White / Black
Zotac GeForce GTX 1080 Ti 11 GB AMP Extreme,180000,GeForce GTX 1080 Ti,11 GB,1645 MHz,1759 MHz,Black / Yellow
Asus GeForce RTX 3060 12 GB TUF GAMING OC,130000,GeForce RTX 3060,12 GB,1320 MHz,Black,301 mm
Gigabyte GeForce GTX 1080 Ti 11 GB AORUS WATERFORCE,188000,GeForce GTX 1080 Ti,11 GB,1632 MHz,1746 MHz,Black / Orange
Inno3D GeForce RTX 2060 6 GB Twin X2,85000,GeForce RTX 2060,6 GB,1365 MHz,1680 MHz,Black
EVGA GeForce GTX 1080 Ti 11 GB FTW3 ELITE GAMING,189200,GeForce GTX 1080 Ti,11 GB,1569 MHz,1683 MHz,White / Black
Asus GeForce RTX 3060 Ti 8 GB TUF GAMING,187000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1695 MHz,Black
Sapphire Radeon R9 380 4 GB NITRO,30000,Radeon R9 380,4 GB,985 MHz,Black / Silver,238 mm
Gigabyte GeForce GTX 1650 SUPER 4 GB WINDFORCE OC,83600,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1755 MHz,Black / Silver
MSI GeForce RTX 2080 SUPER 8 GB GAMING TRIO,173250,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1815 MHz,Silver / Black
Asus GeForce GTX 1650 G6 4 GB Phoenix OC,56000,GeForce GTX 1650 G6,4 GB,1410 MHz,1665 MHz,Black
PNY GeForce RTX 3060 12 GB XLR8 Gaming REVEL EPIC-X RGB,120000,GeForce RTX 3060,12 GB,1320 MHz,Black,169.926 mm
Gigabyte GeForce RTX 3080 Ti 12 GB AORUS MASTER,249800,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,Black
NVIDIA GeForce RTX 2060 SUPER 8 GB Founders Edition,96000,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1650 MHz,Silver
Zotac GeForce RTX 3080 10 GB GAMING Trinity,220000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1710 MHz,Black
MSI GeForce RTX 3070 Ti 8 GB GAMING X TRIO,178500,GeForce RTX 3070 Ti,8 GB,1575 MHz,1830 MHz,Black / Silver
Gigabyte GeForce RTX 3060 Ti 8 GB AORUS ELITE,168000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1785 MHz,Black
Zotac GeForce RTX 2070 SUPER 8 GB MINI,138000,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1770 MHz,Black
Asus GeForce RTX 3070 Ti 8 GB ROG STRIX GAMING OC,175000,GeForce RTX 3070 Ti,8 GB,1575 MHz,Black / Silver,318.5 mm
Zotac GeForce RTX 2080 SUPER 8 GB AMP Extreme,180000,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1875 MHz,Black
NVIDIA Titan Xp 12 GB Star Wars Jedi Order,185000,Titan Xp,12 GB,1481 MHz,1582 MHz,Silver / Green
NVIDIA GeForce GTX 1070 Ti 8 GB Founders Edition,116500,GeForce GTX 1070 Ti,8 GB,1607 MHz,1683 MHz,Silver / Black
MSI GeForce RTX 3080 10 GB SUPRIM X,220500,GeForce RTX 3080 10GB,10 GB,1440 MHz,1920 MHz,Black / Silver
Gigabyte GeForce RTX 3080 10 GB TURBO,222500,GeForce RTX 3080 10GB,10 GB,1710 MHz,Black / Silver,267 mm
PowerColor Radeon RX 480 4 GB Red Dragon,36000,Radeon RX 480,4 GB,1120 MHz,1266 MHz,Black / Silver
Asus GeForce RTX 3060 12 GB DUAL OC,120000,GeForce RTX 3060,12 GB,1320 MHz,Black,200 mm
Gigabyte Radeon RX 580 8 GB GAMING 8G,75000,Radeon RX 580,8 GB,1257 MHz,1355 MHz,Black / Orange
XFX Radeon RX 5700 XT 8 GB RAW II,77000,Radeon RX 5700 XT,8 GB,1605 MHz,1905 MHz,Black
Zotac GeForce RTX 3080 Ti 12 GB GAMING AMP Holo,256800,GeForce RTX 3080 Ti,12 GB,1365 MHz,1710 MHz,Black / Silver
MSI GeForce GTX 970 4 GB GAMING 100ME,35000,GeForce GTX 970,4 GB,1140 MHz,1279 MHz,Black / Green
MSI GeForce RTX 3060 12 GB VENTUS 2X,135000,GeForce RTX 3060,12 GB,1320 MHz,1777 MHz,Black
GALAX GeForce GTX 970 4 GB EX OC,32000,GeForce GTX 970,4 GB,1126 MHz,1266 MHz,Black
EVGA GeForce GTX 980 Ti 6 GB HYBRID,55600,GeForce GTX 980 Ti,6 GB,1140 MHz,1228 MHz,Black / Gold
Gigabyte GeForce RTX 2070 SUPER 8 GB WINDFORCE OC 3X,142000,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1785 MHz,Black
Sapphire Radeon RX VEGA 64 8 GB NITRO+,80000,Radeon RX VEGA 64,8 GB,1373 MHz,1580 MHz,Black / Silver
Asus GeForce GTX 1080 Ti 11 GB Founders Edition,181500,GeForce GTX 1080 Ti,11 GB,1480 MHz,1582 MHz,Black / Silver
Asus GeForce RTX 3060 Ti 8 GB ROG STRIX GAMING OC,185000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1890 MHz,Black / Gray
Zotac GeForce GTX 1050 Ti 4 GB MINI,39800,GeForce GTX 1050 Ti,4 GB,1303 MHz,1417 MHz,Black
Gigabyte GeForce GTX 1050 2 GB GAMING,26500,GeForce GTX 1050,2 GB,1417 MHz,1556 MHz,Black / Orange
MSI Radeon RX 480 4 GB ARMOR OC,40000,Radeon RX 480,4 GB,1120 MHz,1291 MHz,Black / White
Asus GeForce RTX 3060 Ti 8 GB KO OC,185000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1785 MHz,Black / Silver
Asus GeForce RTX 3080 Ti 12 GB ROG STRIX LC GAMING OC,261000,GeForce RTX 3080 Ti,12 GB,1365 MHz,1860 MHz,Black / Silver
Gigabyte GeForce RTX 3070 Ti 8 GB Vision OC,179000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1830 MHz,White / Silver
Asus GeForce RTX 3070 8 GB DUAL OC,164000,GeForce RTX 3070,8 GB,1500 MHz,Black,267 mm
Asus GeForce GTX 1060 6GB 6 GB DUAL,55000,GeForce GTX 1060 6GB,6 GB,1594 MHz,1809 MHz,White
PowerColor Radeon RX 6800 16 GB Red Dragon OC,175800,Radeon RX 6800,16 GB,1700 MHz,2170 MHz,Black
ASRock Radeon RX 6900 XT 16 GB Phantom Gaming D OC,205000,Radeon RX 6900 XT,16 GB,1925 MHz,2340 MHz,Black / Silver
Asus GeForce GTX 1650 SUPER 4 GB STRIX GAMING OC,70000,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1815 MHz,Black
EVGA GeForce RTX 2080 8 GB XC ULTRA GAMING,168000,GeForce RTX 2080,8 GB,1515 MHz,1815 MHz,Black / Clear
EVGA GeForce GTX 1660 SUPER 6 GB SC ULTRA GAMING,88500,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1830 MHz,Black
MSI GeForce GTX 1070 8 GB GAMING X,69000,GeForce GTX 1070,8 GB,1506 MHz,1797 MHz,Black / Red
MSI GeForce RTX 2060 6 GB GAMING Z,95000,GeForce RTX 2060,6 GB,1365 MHz,1830 MHz,Black / Gray
EVGA GeForce GTX 770 2 GB Superclocked ACX,32650,GeForce GTX 770,2 GB,1111 MHz,Black / Gold,267 mm
Asus GeForce RTX 2060 SUPER 8 GB STRIX GAMING OC,99000,GeForce RTX 2060 SUPER,8 GB,1500 MHz,1860 MHz,Black
EVGA GeForce GTX 1060 6GB 6 GB SC GAMING,60000,GeForce GTX 1060 6GB,6 GB,1607 MHz,1835 MHz,Black / Gray
Asus GeForce RTX 3060 12 GB ROG STRIX GAMING,122000,GeForce RTX 3060,12 GB,1320 MHz,Black / Silver,300 mm
XFX Radeon RX 580 8 GB GTS,78000,Radeon RX 580,8 GB,1405 MHz,1425 MHz,Black / Red
EVGA GeForce RTX 3080 Ti 12 GB XC3 ULTRA GAMING iCX3,261650,GeForce RTX 3080 Ti,12 GB,1365 MHz,1725 MHz,Black
Gigabyte GeForce RTX 3080 10 GB GAMING OC,221500,GeForce RTX 3080 10GB,10 GB,1440 MHz,1800 MHz,Black / Gray
ASRock Radeon RX 5700 XT 8 GB Phantom Gaming D OC,180000,Radeon RX 5700 XT,8 GB,1690 MHz,1945 MHz,Black / Red
EVGA GeForce RTX 2070 SUPER 8 GB FTW3 ULTRA GAMING,145000,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1815 MHz,Transparent
ASRock Radeon RX 6600 XT 8 GB Challenger D OC,82800,Radeon RX 6600 XT,8 GB,1968 MHz,Black,269 mm
Gigabyte GeForce GTX 1060 3GB 3 GB WINDFORCE OC,38500,GeForce GTX 1060 3GB,3 GB,1556 MHz,1797 MHz,Black / Orange
Gainward GeForce RTX 3080 10 GB Phoenix,210000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1710 MHz,Silver / Black
Palit GeForce RTX 3080 Ti 12 GB GamingPro,250000,GeForce RTX 3080 Ti,12 GB,1365 MHz,1665 MHz,Black / Silver
Asus Radeon RX 580 8 GB AREZ STRIX OC,70000,Radeon RX 580,8 GB,1257 MHz,1380 MHz,Black
Asus GeForce GTX 1050 Ti 4 GB STRIX,57000,GeForce GTX 1050 Ti,4 GB,1379 MHz,1506 MHz,Black
MSI GeForce GTX 1070 8 GB ARMOR OC,69000,GeForce GTX 1070,8 GB,1556 MHz,1746 MHz,Black / White
Gigabyte GeForce GTX 1080 8 GB GAMING,108000,GeForce GTX 1080,8 GB,1721 MHz,1860 MHz,Black / Orange
Inno3D GeForce RTX 3080 10 GB iChill X4,210500,GeForce RTX 3080 10GB,10 GB,1440 MHz,1770 MHz,Black / Silver
Gigabyte Radeon RX 6800 16 GB GAMING OC,186200,Radeon RX 6800,16 GB,1815 MHz,2155 MHz,Silver / Black
Zotac GeForce RTX 2060 SUPER 8 GB MINI,92000,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1650 MHz,Silver / Black
EVGA GeForce RTX 2060 6 GB SC GAMING,97000,GeForce RTX 2060,6 GB,1365 MHz,1710 MHz,Black
Asus GeForce GTX 1660 SUPER 6 GB Phoenix OC,85000,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1830 MHz,Black / White
MSI Radeon RX 6700 XT 12 GB GAMING X,129500,Radeon RX 6700 XT,12 GB,2321 MHz,Black / Silver,279 mm
MSI Radeon RX 6600 XT 8 GB MECH 2X OC,85000,Radeon RX 6600 XT,8 GB,1968 MHz,2602 MHz,Black / Silver
MSI GeForce RTX 2060 SUPER 8 GB GAMING,102000,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1650 MHz,Black / Silver
MSI GeForce RTX 3080 Ti 12 GB SUPRIM X,248000,GeForce RTX 3080 Ti,12 GB,1365 MHz,1845 MHz,Black / Silver
MSI Radeon RX 580 4 GB GAMING X,35000,Radeon RX 580,4 GB,1257 MHz,1393 MHz,Black / Red
EVGA GeForce RTX 2070 8 GB GAMING,128000,GeForce RTX 2070,8 GB,1410 MHz,1620 MHz,Black / Clear
Inno3D GeForce GTX 1050 Ti 4 GB Compact,42000,GeForce GTX 1050 Ti,4 GB,1290 MHz,1392 MHz,Black / White
PowerColor Radeon RX 5600 XT 6 GB Red Dragon,65200,Radeon RX 5600 XT,6 GB,1247 MHz,1620 MHz,Black / Silver
Sapphire Radeon R9 280X 3 GB Dual-X,30000,Radeon R9 280X,3 GB,850 MHz,1020 MHz,Blue / Silver
MSI GeForce RTX 3080  10 GB SEA HAWK X,209500,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1785 MHz,Black / Silver
Gigabyte GeForce GTX 1070 Ti 8 GB WINDFORCE,65000,GeForce GTX 1070 Ti,8 GB,1632 MHz,1721 MHz,Black / Orange
Gigabyte GeForce RTX 2080 8 GB GAMING OC WHITE,162350,GeForce RTX 2080,8 GB,1710 MHz,1830 MHz,White / Black
Zotac GeForce RTX 3070 8 GB Twin Edge OC,159000,GeForce RTX 3070,8 GB,1500 MHz,1755 MHz,White
Gigabyte GeForce RTX 3080 Ti 12 GB GAMING OC,245600,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,Black / Silver
Asus GeForce RTX 2080 Ti 11 GB STRIX GAMING OC,245000,GeForce RTX 2080 Ti,11 GB,1350 MHz,1665 MHz,Black
Gigabyte GeForce RTX 2070 SUPER 8 GB GAMING OC 3X,136500,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1815 MHz,Black
EVGA GeForce RTX 3090 24 GB K|NGP|N HYBRID GAMING,342000,GeForce RTX 3090,24 GB,1395 MHz,1920 MHz,Black
MSI GeForce GTX 980 4 GB TWIN FROZR,40000,GeForce GTX 980,4 GB,1190 MHz,1291 MHz,Black / Red
MSI GeForce RTX 2070 SUPER 8 GB GAMING X,138500,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1800 MHz,Black
Gigabyte Radeon RX 580 8 GB GAMING,65000,Radeon RX 580,8 GB,1257 MHz,1355 MHz,Black / Orange
Asus GeForce GTX 750 Ti 2 GB STRIX,25000,GeForce GTX 750 Ti,2 GB,1124 MHz,1202 MHz,Black / Red
EVGA GeForce RTX 2080 Ti 11 GB FTW3 ULTRA GAMING,250000,GeForce RTX 2080 Ti,11 GB,1350 MHz,1755 MHz,Clear / Black
Zotac GeForce RTX 3070 Ti 8 GB GAMING AMP Holo,180000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1830 MHz,Black / Silver
MSI GeForce RTX 2070 SUPER 8 GB GAMING X TRIO,140000,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1800 MHz,Black
Gigabyte GeForce GTX 1080 8 GB WINDFORCE OC,115000,GeForce GTX 1080,8 GB,1657 MHz,1797 MHz,Black / Orange
NVIDIA GeForce RTX 2070 SUPER 8 GB Founders Edition,148600,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1770 MHz,Silver
MSI Radeon RX 580 8 GB GAMING X,66000,Radeon RX 580,8 GB,1257 MHz,1393 MHz,Black / Red
Asus GeForce RTX 2070 SUPER 8 GB STRIX GAMING OC,149000,GeForce RTX 2070 SUPER,8 GB,1635 MHz,1935 MHz,Black
MSI GeForce RTX 3060 12 GB VENTUS 3X OC,135000,GeForce RTX 3060,12 GB,1320 MHz,1807 MHz,Black
Sapphire Radeon RX 6800 XT 16 GB NITRO+ SE,195600,Radeon RX 6800 XT,16 GB,1825 MHz,Black / Silver,310 mm
Asus GeForce GTX 1050 2 GB ROG STRIX,32000,GeForce GTX 1050,2 GB,1442 MHz,1569 MHz,Black
MSI GeForce RTX 3070 8 GB VENTUS 3X,168000,GeForce RTX 3070,8 GB,1500 MHz,1725 MHz,Black / Silver
Sapphire Radeon RX 580 8 GB PULSE,62000,Radeon RX 580,8 GB,1257 MHz,1366 MHz,Black
Sapphire Radeon RX 6700 XT 12 GB NITRO+,125000,Radeon RX 6700 XT,12 GB,2321 MHz,2622 MHz,Silver / Black
PowerColor Radeon RX 6900 XT 16 GB Red Devil Limited Edition,365000,Radeon RX 6900 XT,16 GB,1825 MHz,2340 MHz,Black
Sapphire Radeon RX 5700 XT 8 GB NITRO+ SE,75000,Radeon RX 5700 XT,8 GB,1840 MHz,2035 MHz,Black / Silver
Gigabyte GeForce RTX 2060 6 GB WINDFORCE OC,86000,GeForce RTX 2060,6 GB,1680 MHz,1770 MHz,Black
Sapphire Radeon RX 5600 XT 6 GB PULSE BE,66000,Radeon RX 5600 XT,6 GB,1247 MHz,1620 MHz,Black / Red
MSI GeForce RTX 2060 SUPER 8 GB GAMING X,95000,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1695 MHz,Black / Silver
ASRock Radeon RX 5700 XT 8 GB Challenger D OC,180000,Radeon RX 5700 XT,8 GB,1650 MHz,1905 MHz,Black / Yellow
Asus GeForce GTX 1080 8 GB ROG STRIX,115000,GeForce GTX 1080,8 GB,1670 MHz,1835 MHz,Black
Sapphire Radeon RX 5700 XT 8 GB NITRO+,80000,Radeon RX 5700 XT,8 GB,1770 MHz,2010 MHz,Black / Silver
Asus GeForce RTX 3070 8 GB STRIX GAMING,164000,GeForce RTX 3070,8 GB,1500 MHz,1755 MHz,Black
MSI GeForce RTX 2080 Ti 11 GB VENTUS OC,250000,GeForce RTX 2080 Ti,11 GB,1350 MHz,1635 MHz,Silver / Black
Gigabyte GeForce RTX 3080 Ti 12 GB AORUS XTREME,256800,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,Black
Palit GeForce RTX 3070 Ti 8 GB GameRock OC,162000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1845 MHz,Silver
XFX Radeon RX 580 8 GB GTR XXX,63500,Radeon RX 580,8 GB,1366 MHz,1386 MHz,Black / Red
Asus GeForce RTX 3090 24 GB TUF GAMING OC,345000,GeForce RTX 3090,24 GB,1395 MHz,Black,299.9 mm
Gigabyte GeForce GTX 1050 Ti 4 GB GAMING,47000,GeForce GTX 1050 Ti,4 GB,1366 MHz,1506 MHz,Black
MSI GeForce RTX 3060 12 GB GAMING X TRIO,135000,GeForce RTX 3060,12 GB,1320 MHz,1852 MHz,Black
Gigabyte GeForce RTX 3070 Ti 8 GB EAGLE,172000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1770 MHz,Black
Asus Radeon RX 6700 XT 12 GB ROG STRIX GAMING OC,125000,Radeon RX 6700 XT,12 GB,2321 MHz,Black / Silver,322 mm
Asus GeForce RTX 3060 12 GB ROG STRIX GAMING OC,130000,GeForce RTX 3060,12 GB,1320 MHz,Black / Silver,300 mm
Sapphire Radeon RX 5700 XT 8 GB PULSE,82500,Radeon RX 5700 XT,8 GB,1670 MHz,1925 MHz,Black / Red
Palit GeForce RTX 3080 10 GB GamingPro,218500,GeForce RTX 3080 10GB,10 GB,1440 MHz,1710 MHz,Black / Silver
AMD Radeon RX 6700 XT 12 GB 100-438385,180000,Radeon RX 6700 XT,12 GB,2321 MHz,2581 MHz,Black / Silver
Gigabyte GeForce RTX 3090 24 GB GAMING OC,350000,GeForce RTX 3090,24 GB,1395 MHz,1755 MHz,Black / Gray
PNY GeForce GTX 960 2 GB XLR8,25000,GeForce GTX 960,2 GB,1127 MHz,1178 MHz,Black
Asus GeForce RTX 3070 8 GB DUAL,160200,GeForce RTX 3070,8 GB,1500 MHz,1755 MHz,Black
MSI GeForce GTX 970 4 GB GAMING,35000,GeForce GTX 970,4 GB,1140 MHz,1279 MHz,Black / Red
EVGA GeForce RTX 2070 SUPER 8 GB BLACK GAMING,138000,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1770 MHz,Black
Zotac GeForce GTX 980 Ti 6 GB AMP,52500,GeForce GTX 980 Ti,6 GB,1051 MHz,1140 MHz,Black / Silver
Zotac GeForce RTX 3060 Ti 8 GB Twin Edge OC,165000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1695 MHz,Black
MSI GeForce GTX 1080 8 GB GAMING X,120000,GeForce GTX 1080,8 GB,1607 MHz,1847 MHz,Black / Red
Gigabyte GeForce RTX 2070 SUPER 8 GB GAMING OC WHITE,142000,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1815 MHz,White
EVGA GeForce RTX 2080 Ti 11 GB K|NGP|N GAMING,235000,GeForce RTX 2080 Ti,11 GB,1350 MHz,1770 MHz,Black
ASRock Radeon RX 580 8 GB Phantom Gaming D,113200,Radeon RX 580,8 GB,1257 MHz,1370 MHz,Black / Silver
EVGA GeForce GTX 1080 Ti 11 GB SC2 ELITE GAMING,182500,GeForce GTX 1080 Ti,11 GB,1556 MHz,1670 MHz,Black
Gigabyte Radeon RX 5500 XT 8 GB OC,82650,Radeon RX 5500 XT,8 GB,1647 MHz,1845 MHz,Black / Gray
EVGA GeForce RTX 2080 Ti 11 GB XC HYBRID GAMING,246500,GeForce RTX 2080 Ti,11 GB,1350 MHz,1635 MHz,Black / Clear
Asus GeForce GTX 1070 8 GB Founders Edition,70000,GeForce GTX 1070,8 GB,1506 MHz,1683 MHz,Black / Silver
Asus GeForce RTX 2080 Ti 11 GB STRIX GAMING Advanced,245000,GeForce RTX 2080 Ti,11 GB,1350 MHz,Black,304.7 mm
PNY GeForce GTX 1660 6 GB XLR8 Gaming Overclocked Edition,83000,GeForce GTX 1660,6 GB,1530 MHz,1830 MHz,Black
EVGA GeForce GTX 760 4 GB Dual FTW ACX,34000,GeForce GTX 760,4 GB,1085 MHz,1150 MHz,Black / Silver
MSI GeForce RTX 2070 8 GB GAMING,125000,GeForce RTX 2070,8 GB,1410 MHz,1620 MHz,Black
GALAX GeForce RTX 3060 Ti 8 GB (1-click OC),170000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1680 MHz,Black
GALAX GeForce GTX 1660 Ti 6 GB (1-click OC),112000,GeForce GTX 1660 Ti,6 GB,1500 MHz,1800 MHz,Black
PowerColor Radeon RX 570 4 GB Red Dragon,35800,Radeon RX 570,4 GB,1168 MHz,1250 MHz,Black / Red
Gigabyte Radeon RX 6700 XT 12 GB EAGLE,125000,Radeon RX 6700 XT,12 GB,2321 MHz,Black,282 mm
Gigabyte GeForce GTX 1060 3GB 3 GB GAMING,38500,GeForce GTX 1060 3GB,3 GB,1620 MHz,1847 MHz,Black / Orange
NVIDIA GeForce GTX 1060 6GB 6 GB Founders Edition,68500,GeForce GTX 1060 6GB,6 GB,1506 MHz,1709 MHz,Black / Silver
EVGA GeForce GTX 1660 6 GB SC ULTRA GAMING,77500,GeForce GTX 1660,6 GB,1530 MHz,1830 MHz,Silver / Black
Asus GeForce RTX 2070 8 GB STRIX GAMING OC,117000,GeForce RTX 2070,8 GB,1410 MHz,1845 MHz,Black
Palit GeForce GTX 1650 SUPER 4 GB StormX OC,52500,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1770 MHz,Black
MSI Radeon RX 580 8 GB ARMOR X,78000,Radeon RX 580,8 GB,1257 MHz,1366 MHz,Silver / Black
Gigabyte GeForce RTX 3090 24 GB AORUS XTREME WATERFORCE,350000,GeForce RTX 3090,24 GB,1395 MHz,1785 MHz,Black
EVGA GeForce RTX 3080 10 GB FTW3 ULTRA HYBRID GAMING,212000,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1800 MHz,Black
PNY GeForce GTX 970 4 GB XLR8,33000,GeForce GTX 970,4 GB,1050 MHz,1178 MHz,Black / Gold
ASRock Radeon RX 6800 16 GB Phantom Gaming D OC,196000,Radeon RX 6800,16 GB,1700 MHz,Black / Silver,305 mm
Asus GeForce RTX 2060 6 GB DUAL EVO Advanced,88000,GeForce RTX 2060,6 GB,1365 MHz,1725 MHz,Black
Gigabyte GeForce RTX 3090 24 GB Vision OC,350000,GeForce RTX 3090,24 GB,1395 MHz,1755 MHz,Silver / White
MSI Radeon RX 5700 XT 8 GB GAMING X,78500,Radeon RX 5700 XT,8 GB,1730 MHz,1980 MHz,Silver / Black
Palit GeForce RTX 3080 10 GB GameRock OC,210800,GeForce RTX 3080 10GB,10 GB,1440 MHz,1860 MHz,Black
Zotac GeForce RTX 2080 8 GB GAMING AMP,171550,GeForce RTX 2080,8 GB,1515 MHz,Black,308 mm
EVGA GeForce GTX 970 4 GB SSC ACX 2.0+,30500,GeForce GTX 970,4 GB,1190 MHz,1342 MHz,Black / Blue
MSI GeForce RTX 3070 Ti 8 GB SUPRIM X,178500,GeForce RTX 3070 Ti,8 GB,1575 MHz,1875 MHz,Black / Silver
XFX Radeon RX 5700 XT 8 GB Triple Dissipation,81500,Radeon RX 5700 XT,8 GB,1605 MHz,1905 MHz,Black
Zotac GeForce RTX 3070 8 GB GAMING AMP Holo,159000,GeForce RTX 3070,8 GB,1500 MHz,1785 MHz,Silver / Black
Gigabyte GeForce RTX 3070 Ti 8 GB EAGLE OC,172000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1800 MHz,Black
XFX Radeon RX 5600 XT 6 GB RAW II,61500,Radeon RX 5600 XT,6 GB,1247 MHz,1620 MHz,Black
Gigabyte GeForce RTX 3080 Ti 12 GB EAGLE OC,252500,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,Black
MSI GeForce RTX 2070 8 GB GAMING Z,118000,GeForce RTX 2070,8 GB,1410 MHz,1830 MHz,Black
EVGA GeForce GTX 1080 8 GB SC GAMING,115700,GeForce GTX 1080,8 GB,1708 MHz,1847 MHz,Black / Silver
Gigabyte GeForce RTX 2060 SUPER 8 GB GAMING OC 3X WHITE,95000,GeForce RTX 2060 SUPER,8 GB,1650 MHz,1815 MHz,White / Black
Inno3D GeForce RTX 3060 Ti 8 GB Twin X2,158500,GeForce RTX 3060 Ti,8 GB,1410 MHz,1665 MHz,Black
Gigabyte GeForce GTX 1080 8 GB XTREME,112000,GeForce GTX 1080,8 GB,1759 MHz,1936 MHz,Black / Silver
Asus GeForce GTX 1060 6GB 6 GB STRIX,58000,GeForce GTX 1060 6GB,6 GB,1620 MHz,1873 MHz,Black
MSI Radeon RX 5500 XT 8 GB GAMING X,86900,Radeon RX 5500 XT,8 GB,1685 MHz,1845 MHz,Black / Red
MSI GeForce GTX 1080 8 GB AERO,114000,GeForce GTX 1080,8 GB,1632 MHz,1771 MHz,Black / Silver
ASRock Radeon RX 5600 XT 6 GB Challenger Pro OC,158200,Radeon RX 5600 XT,6 GB,1420 MHz,1750 MHz,Black
ASRock Radeon RX 580 8 GB Phantom Gaming X,113200,Radeon RX 580,8 GB,1257 MHz,1380 MHz,Black / Silver
Inno3D GeForce GTX 1660 Ti 6 GB Twin X2,104500,GeForce GTX 1660 Ti,6 GB,1500 MHz,1770 MHz,Black
Inno3D GeForce RTX 3080 Ti 12 GB iChill X4,250600,GeForce RTX 3080 Ti,12 GB,1365 MHz,1710 MHz,Black / Silver
Gigabyte GeForce RTX 3070 8 GB EAGLE OC,160000,GeForce RTX 3070,8 GB,1500 MHz,1770 MHz,Black / Silver
Sapphire Radeon RX 480 8 GB NITRO+,58000,Radeon RX 480,8 GB,1208 MHz,1342 MHz,Black
MSI Radeon RX 550 - 512 4 GB AERO ITX OC,30500,Radeon RX 550 - 512,4 GB,1183 MHz,1203 MHz,Black / Silver
XFX Radeon RX 6700 XT 12 GB Speedster MERC 319 Black,120500,Radeon RX 6700 XT,12 GB,2321 MHz,2622 MHz,Black
MSI GeForce GTX 1070 8 GB SEA HAWK X,72000,GeForce GTX 1070,8 GB,1506 MHz,1797 MHz,Black / Silver
Zotac GeForce RTX 3080 10 GB GAMING Trinity OC,229850,GeForce RTX 3080 10GB,10 GB,1440 MHz,1725 MHz,Black
XFX Radeon RX 5700 XT 8 GB THICC II Ultra,79800,Radeon RX 5700 XT,8 GB,1730 MHz,1980 MHz,Black
Asus GeForce RTX 3060 Ti 8 GB DUAL OC,185000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1740 MHz,Black / Silver
Gigabyte Radeon RX 570 8 GB GAMING,64000,Radeon RX 570,8 GB,1244 MHz,1255 MHz,Black / Orange
Gigabyte GeForce RTX 2070 8 GB WINDFORCE,115000,GeForce RTX 2070,8 GB,1620 MHz,Black / Silver,280.35 mm
