Video Card,Video Card Price,gpu_chipset,gpu_memory,gpu_core_clock,gpu_boostclock,gpu_color
MSI GeForce RTX 3090 24 GB SUPRIM X,360000,GeForce RTX 3090,24 GB,1395 MHz,1875 MHz,Silver
Zotac GeForce GTX 1060 6GB 6 GB AMP,66000,GeForce GTX 1060 6GB,6 GB,1556 MHz,1771 MHz,Black / Silver
Asus GeForce RTX 3060 Ti  8 GB ROG STRIX GAMING OC V2,192000,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1890 MHz,Black / Silver
NVIDIA GeForce RTX 3070 8 GB Founders Edition,171000,GeForce RTX 3070,8 GB,1500 MHz,1730 MHz,Black
Gigabyte GeForce RTX 3080 10 GB AORUS MASTER,230000,GeForce RTX 3080 10GB,10 GB,1440 MHz,Black,319 mm
Asus Radeon RX 5700 XT 8 GB STRIX GAMING OC,72000,Radeon RX 5700 XT,8 GB,1770 MHz,2035 MHz,Black
Gigabyte Radeon RX 5700 XT 8 GB GAMING OC,75000,Radeon RX 5700 XT,8 GB,1650 MHz,1905 MHz,Black
EVGA GeForce GTX 1080 8 GB SC2 Gaming iCX,119000,GeForce GTX 1080,8 GB,1708 MHz,1847 MHz,White / Black
NVIDIA GeForce RTX 3080 Ti 12 GB Founders Edition,268000,GeForce RTX 3080 Ti,12 GB,1370 MHz,1670 MHz,Silver / Black
Sapphire Radeon RX 580 4 GB NITRO+,35000,Radeon RX 580,4 GB,1257 MHz,1411 MHz,Black / Silver
Sapphire Radeon R9 280 3 GB Dual-X,26000,Radeon R9 280,3 GB,850 MHz,940 MHz,Black / Silver
Zotac GeForce RTX 3080 Ti 12 GB GAMING Trinity OC,262600,GeForce RTX 3080 Ti,12 GB,1365 MHz,1695 MHz,Black / Silver
EVGA GeForce RTX 3080 Ti 12 GB FTW3 ULTRA GAMING LE iCX3,260500,GeForce RTX 3080 Ti,12 GB,1365 MHz,1800 MHz,Black
Asus GeForce RTX 3080 10 GB STRIX GAMING OC,217000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1935 MHz,Black
Asus GeForce GTX 1650 SUPER 4 GB TUF GAMING,70000,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1755 MHz,Black
Gigabyte GeForce RTX 3060 Ti 8 GB GAMING OC PRO,173000,GeForce RTX 3060 Ti,8 GB,1410 MHz,1770 MHz,Black / Silver
