Memory,Memory Price,ram_speed,ram_modules,ram_color,Inventoiry
Team T-Force DARK 16 GB (4 x 4 GB) DDR4-2400 CL14,17000,DDR4-2400,4 x 4 GB,Black,0
Team T-Create Classic 16 GB (2 x 8 GB) DDR4-3200 CL22,13000,DDR4-3200,2 x 8 GB,Silver,0
Kingston HyperX Predator RGB 32 GB (4 x 8 GB) DDR4-3600 CL17,35500,DDR4-3600,4 x 8 GB,Black,0
Patriot Viper RGB 16 GB (2 x 8 GB) DDR4-3600 CL16,16000,DDR4-3600,2 x 8 GB,8.889 ns,0
Patriot Viper Steel 64 GB (2 x 32 GB) DDR4-3600 CL18,48000,DDR4-3600,2 x 32 GB,Silver / Black,0
Corsair Vengeance LPX 64 GB (4 x 16 GB) DDR4-3600 CL18,82500,DDR4-3600,4 x 16 GB,Black,0
G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-4000 CL18,46000,DDR4-4000,2 x 16 GB,Black,0
G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3600 CL18,23500,DDR4-3600,2 x 8 GB,Black,0
Corsair Dominator Platinum 16 GB (4 x 4 GB) DDR4-3000 CL15,15000,DDR4-3000,4 x 4 GB,Black,0
Team T-Force Night Hawk RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,15000,DDR4-3600,2 x 8 GB,Black,0
Crucial Ballistix Elite 16 GB (2 x 8 GB) DDR4-3200 CL15,14500,DDR4-3200,2 x 8 GB,Black,0
Crucial Ballistix RGB 64 GB (2 x 32 GB) DDR4-3200 CL16,52000,DDR4-3200,2 x 32 GB,White,0
G.Skill Trident Z Royal 16 GB (2 x 8 GB) DDR4-3600 CL16,26500,DDR4-3600,2 x 8 GB,Silver,0
G.Skill Aegis 16 GB (2 x 8 GB) DDR4-3000 CL16,17500,DDR4-3000,2 x 8 GB,Black / Red,0
G.Skill Trident Z Neo 128 GB (4 x 32 GB) DDR4-3200 CL16,168000,DDR4-3200,4 x 32 GB,Black / Silver,0
Corsair Vengeance LPX 64 GB (4 x 16 GB) DDR4-2666 CL16,73000,DDR4-2666,4 x 16 GB,Black / Yellow,0
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-3200 CL16,29500,DDR4-3200,2 x 16 GB,Silver / Black,0
Kingston HyperX Fury RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,17500,DDR4-3200,2 x 8 GB,Black,0
Kingston Predator 16 GB (2 x 8 GB) DDR3-2133 CL11,13500,DDR3-2133,2 x 8 GB,Black,0
G.Skill Trident Z Royal 64 GB (4 x 16 GB) DDR4-3600 CL16,133000,DDR4-3600,4 x 16 GB,Silver,0
G.Skill Aegis 32 GB (2 x 16 GB) DDR4-3000 CL16,27000,DDR4-3000,2 x 16 GB,Red / Black,0
GeIL SUPER LUCE RGB SYNC 16 GB (2 x 8 GB) DDR4-3200 CL16,18500,DDR4-3200,2 x 8 GB,Black,0
Kingston HyperX Fury RGB 32 GB (4 x 8 GB) DDR4-3466 CL16,36000,DDR4-3466,4 x 8 GB,Black,0
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-3200 CL14,29000,DDR4-3200,2 x 16 GB,Silver / Black,0
G.Skill Trident Z Neo 32 GB (4 x 8 GB) DDR4-3600 CL18,55000,DDR4-3600,4 x 8 GB,Silver / Black,0
G.Skill Ripjaws V Series 64 GB (4 x 16 GB) DDR4-3200 CL15,46500,DDR4-3200,4 x 16 GB,Black,0
Corsair Vengeance Pro 16 GB (2 x 8 GB) DDR3-1600 CL11,16000,DDR3-1600,2 x 8 GB,Black,0
G.Skill Ripjaws X Series 16 GB (2 x 8 GB) DDR3-2400 CL11,22000,DDR3-2400,2 x 8 GB,Black / Blue,0
Corsair Vengeance RGB Pro 64 GB (4 x 16 GB) DDR4-3600 CL18,56000,DDR4-3600,4 x 16 GB,Black,0
Silicon Power XPOWER Turbine 16 GB (2 x 8 GB) DDR4-3200 CL16,15500,DDR4-3200,2 x 8 GB,Blue,0
G.Skill Trident Z Neo 16 GB (2 x 8 GB) DDR4-3200 CL16,20500,DDR4-3200,2 x 8 GB,Silver / Black,0
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-4000 CL18,44000,DDR4-4000,2 x 16 GB,Black / Silver,0
Team T-FORCE NIGHT HAWK Legend RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,26000,DDR4-3200,2 x 16 GB,Black,0
Corsair Vengeance LED 32 GB (2 x 16 GB) DDR4-2666 CL16,30000,DDR4-2666,2 x 16 GB,Black / White,0
Corsair Vengeance LED 64 GB (4 x 16 GB) DDR4-3000 CL15,65000,DDR4-3000,4 x 16 GB,Black,0
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3000 CL16,40000,DDR4-3000,2 x 16 GB,Black,0
G.Skill Trident Z Royal 32 GB (4 x 8 GB) DDR4-3600 CL16,62000,DDR4-3600,4 x 8 GB,Silver,0
Kingston HyperX Fury 32 GB (2 x 16 GB) DDR4-3200 CL16,28000,DDR4-3200,2 x 16 GB,Black,0
ADATA XPG SPECTRIX D50 16 GB (2 x 8 GB) DDR4-3200 CL16,16700,DDR4-3200,2 x 8 GB,Silver,0
Kingston Savage 8 GB (2 x 4 GB) DDR3-2133 CL11,7900,DDR3-2133,2 x 4 GB,Black,0
Corsair Vengeance RGB Pro SL 16 GB (2 x 8 GB) DDR4-3200 CL16,15000,DDR4-3200,2 x 8 GB,Black,0
Team T-Force XTREEM ARGB 16 GB (2 x 8 GB) DDR4-4000 CL18,21000,DDR4-4000,2 x 8 GB,White,0
G.Skill Trident Z RGB 32 GB (4 x 8 GB) DDR4-3600 CL18,59000,DDR4-3600,4 x 8 GB,Black,0
G.Skill Aegis 32 GB (2 x 16 GB) DDR4-2666 CL19,25000,DDR4-2666,2 x 16 GB,Black / Red,0
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-2400 CL16,32000,DDR4-2400,2 x 16 GB,Black / Yellow,0
Silicon Power XPOWER Zenith RGB Gaming 16 GB (2 x 8 GB) DDR4-3200 CL16,24000,DDR4-3200,2 x 8 GB,Black,0
Patriot Viper Steel 16 GB (2 x 8 GB) DDR4-3200 CL16,16000,DDR4-3200,2 x 8 GB,Silver / Black,0
G.Skill Trident Z 32 GB (4 x 8 GB) DDR4-3600 CL16,50000,DDR4-3600,4 x 8 GB,Black / White,0
Corsair Vengeance LPX 32 GB (4 x 8 GB) DDR4-3000 CL16,37500,DDR4-3000,4 x 8 GB,Black,0
Corsair Dominator Platinum RGB 64 GB (4 x 16 GB) DDR4-3600 CL16,80000,DDR4-3600,4 x 16 GB,Black,0
Crucial Ballistix RGB 32 GB (2 x 16 GB) DDR4-3600 CL16,26500,DDR4-3600,2 x 16 GB,Black,0
G.Skill Trident Z Royal 128 GB (4 x 32 GB) DDR4-3600 CL18,210000,DDR4-3600,4 x 32 GB,Silver,0
G.Skill Ripjaws V Series 16 GB (2 x 8 GB) DDR4-2133 CL15,16600,DDR4-2133,2 x 8 GB,Black / Red,0
G.Skill Trident Z Neo 16 GB (2 x 8 GB) DDR4-3600 CL18,22000,DDR4-3600,2 x 8 GB,Black / Silver,0
Patriot Viper Steel 32 GB (2 x 16 GB) DDR4-3200 CL16,29000,DDR4-3200,2 x 16 GB,Silver / Black,0
G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-4000 CL18,23000,DDR4-4000,2 x 8 GB,Black / White,0
G.Skill Trident Z Royal 32 GB (4 x 8 GB) DDR4-3600 CL17,61500,DDR4-3600,4 x 8 GB,Silver,0
Corsair Vengeance RGB 16 GB (2 x 8 GB) DDR4-3000 CL16,17500,DDR4-3000,2 x 8 GB,Black,0
G.Skill Trident Z Royal 16 GB (2 x 8 GB) DDR4-3600 CL18,26000,DDR4-3600,2 x 8 GB,Silver,0
G.Skill Aegis 32 GB (2 x 16 GB) DDR4-3200 CL16,28000,DDR4-3200,2 x 16 GB,Red / Black,0
G.Skill Trident Z Royal 32 GB (4 x 8 GB) DDR4-3200 CL16,58500,DDR4-3200,4 x 8 GB,Silver,0
Kingston HyperX Predator 16 GB (2 x 8 GB) DDR4-3000 CL15,18500,DDR4-3000,2 x 8 GB,Black,0
G.Skill Ripjaws X Series 16 GB (4 x 4 GB) DDR3-1600 CL9,23500,DDR3-1600,4 x 4 GB,Black / Red,0
Corsair Vengeance RGB Pro 32 GB (4 x 8 GB) DDR4-4000 CL18,40000,DDR4-4000,4 x 8 GB,Black,0
Kingston HyperX Predator RGB 32 GB (4 x 8 GB) DDR4-3200 CL16,36000,DDR4-3200,4 x 8 GB,Black,0
Corsair Vengeance RGB Pro 64 GB (2 x 32 GB) DDR4-3000 CL16,54500,DDR4-3000,2 x 32 GB,Black,0
Team T-Force XTREEM ARGB 16 GB (2 x 8 GB) DDR4-3200 CL16,18000,DDR4-3200,2 x 8 GB,White,0
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3466 CL16,27000,DDR4-3466,2 x 16 GB,Black,0
Kingston HyperX Predator 32 GB (2 x 16 GB) DDR4-3200 CL16,34500,DDR4-3200,2 x 16 GB,Black,0
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-3800 CL14,37000,DDR4-3800,2 x 16 GB,Black,0
Kingston HyperX Fury Blue 8 GB (2 x 4 GB) DDR3-1600 CL10,8500,DDR3-1600,2 x 4 GB,Black,0
Crucial Ballistix Sport LT 16 GB (2 x 8 GB) DDR4-3000 CL15,30000,DDR4-3000,2 x 8 GB,Black,0
G.Skill Ripjaws V Series 16 GB (2 x 8 GB) DDR4-3000 CL15,18500,DDR4-3000,2 x 8 GB,Black,0
G.Skill Trident Z RGB 32 GB (4 x 8 GB) DDR4-3600 CL16,58500,DDR4-3600,4 x 8 GB,Black,0
Kingston FURY 8 GB (2 x 4 GB) DDR4-2400 CL15,8800,DDR4-2400,2 x 4 GB,Black,0
G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3600 CL19,38500,DDR4-3600,2 x 16 GB,Red / Black,0
Kingston HyperX Fury 16 GB (1 x 16 GB) DDR4-2666 CL16,15800,DDR4-2666,1 x 16 GB,Black,0
Corsair Vengeance RGB RT 16 GB (2 x 8 GB) DDR4-3600 CL16,16000,DDR4-3600,2 x 8 GB,Black,0
Team T-Force Delta RGB 16 GB (2 x 8 GB) DDR4-2666 CL15,15000,DDR4-2666,2 x 8 GB,Black,0
Team XCALIBUR Phantom Gaming RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,18500,DDR4-3600,2 x 8 GB,Black,0
Corsair Vengeance RGB Pro 128 GB (8 x 16 GB) DDR4-3200 CL16,120000,DDR4-3200,8 x 16 GB,Black,0
ADATA XPG SPECTRIX D41 16 GB (2 x 8 GB) DDR4-3000 CL16,12000,DDR4-3000,2 x 8 GB,Black,0
Kingston HyperX Predator 32 GB (4 x 8 GB) DDR4-2400 CL12,33500,DDR4-2400,4 x 8 GB,Black,0
ADATA XPG GAMMIX D10 16 GB (2 x 8 GB) DDR4-2666 CL16,12000,DDR4-2666,2 x 8 GB,Black,0
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL19,31000,DDR4-3600,2 x 16 GB,Black,0
Team T-Force Delta RGB 32 GB (2 x 16 GB) DDR4-3600 CL18,29000,DDR4-3600,2 x 16 GB,Black,0
Crucial Ballistix 16 GB (2 x 8 GB) DDR3-1600 CL8,17500,DDR3-1600,2 x 8 GB,Black,0
Team Night Hawk RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,14500,DDR4-3200,2 x 8 GB,Black,0
Team T-FORCE DARK Z 16 GB (2 x 8 GB) DDR4-3200 CL16,16000,DDR4-3200,2 x 8 GB,Silver / Black,0
G.Skill Trident Z Neo 32 GB (4 x 8 GB) DDR4-3800 CL18,58000,DDR4-3800,4 x 8 GB,Black,0
Kingston HyperX Predator 64 GB (4 x 16 GB) DDR4-2666 CL13,68000,DDR4-2666,4 x 16 GB,Black,0
G.Skill Trident Z Royal 64 GB (2 x 32 GB) DDR4-3600 CL18,135000,DDR4-3600,2 x 32 GB,Silver,0
GeIL EVO POTENZA 16 GB (2 x 8 GB) DDR4-2400 CL16,17500,DDR4-2400,2 x 8 GB,Black,0
G.Skill Ripjaws V 64 GB (4 x 16 GB) DDR4-3600 CL16,70000,DDR4-3600,4 x 16 GB,Black,0
Kingston Fury Renegade 16 GB (2 x 8 GB) DDR4-3200 CL16,18700,DDR4-3200,2 x 8 GB,Black,0
G.Skill Ripjaws V 64 GB (2 x 32 GB) DDR4-3200 CL16,53000,DDR4-3200,2 x 32 GB,Black,0
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3000 CL15,21500,DDR4-3000,2 x 8 GB,Black,0
Crucial Ballistix Sport LT 16 GB (4 x 4 GB) DDR4-2400 CL16,18500,DDR4-2400,4 x 4 GB,Black,0
Crucial Ballistix MAX 32 GB (2 x 16 GB) DDR4-4400 CL19,28500,DDR4-4400,2 x 16 GB,Black,0
Corsair Vengeance RGB Pro 128 GB (4 x 32 GB) DDR4-3600 CL18,110000,DDR4-3600,4 x 32 GB,Black,0
Kingston HyperX Fury Blue 8 GB (2 x 4 GB) DDR3-1866 CL10,9000,DDR3-1866,2 x 4 GB,Blue / Silver,0
GeIL Evo X II RGB SYNC 16 GB (2 x 8 GB) DDR4-3600 CL18,21000,DDR4-3600,2 x 8 GB,Black,0
Neo Forza FAYE 16 GB (2 x 8 GB) DDR4-3600 CL18,17000,DDR4-3600,2 x 8 GB,Black,0
G.Skill Trident Z RGB 32 GB (4 x 8 GB) DDR4-3200 CL14,56500,DDR4-3200,4 x 8 GB,Black,0
G.Skill Trident Z RGB 64 GB (4 x 16 GB) DDR4-3600 CL14,73000,DDR4-3600,4 x 16 GB,Black,0
Crucial Ballistix Sport LT 32 GB (2 x 16 GB) DDR4-2400 CL16,35000,DDR4-2400,2 x 16 GB,Black,0
Thermaltake TOUGHRAM RGB 16 GB (2 x 8 GB) DDR4-3000 CL16,21000,DDR4-3000,2 x 8 GB,Black,0
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-4000 CL19,23000,DDR4-4000,2 x 8 GB,Black / Yellow,0
Thermaltake TOUGHRAM RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,24000,DDR4-3600,2 x 8 GB,White / Silver,0
ADATA XPG Z1 16 GB (2 x 8 GB) DDR4-3000 CL16,25000,DDR4-3000,2 x 8 GB,Silver / Black,0
G.Skill Ripjaws V 32 GB (4 x 8 GB) DDR4-3600 CL18,37000,DDR4-3600,4 x 8 GB,Black,0
Team T-Force XTREEM ARGB 64 GB (2 x 32 GB) DDR4-3600 CL18,68000,DDR4-3600,2 x 32 GB,White,0
Team T-FORCE DELTA TUF Gaming 16 GB (2 x 8 GB) DDR4-3200 CL16,13500,DDR4-3200,2 x 8 GB,Black / Gold,0
G.Skill Trident Z Royal 64 GB (4 x 16 GB) DDR4-3600 CL14,134000,DDR4-3600,4 x 16 GB,Silver,0
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-4000 CL18,31000,DDR4-4000,2 x 16 GB,Black,0
G.Skill Ares Series 16 GB (2 x 8 GB) DDR3-1600 CL10,18000,DDR3-1600,2 x 8 GB,Black / Orange,0
Crucial Ballistix MAX RGB 16 GB (2 x 8 GB) DDR4-4000 CL18,16000,DDR4-4000,2 x 8 GB,Black,0
Corsair Vengeance RGB Pro 64 GB (4 x 16 GB) DDR4-3200 CL16,54000,DDR4-3200,4 x 16 GB,Black,0
Patriot Viper Steel 16 GB (2 x 8 GB) DDR4-4133 CL19,19500,DDR4-4133,2 x 8 GB,Silver / Black,0
G.Skill Ripjaws V Series 8 GB (1 x 8 GB) DDR4-2666 CL15,7500,DDR4-2666,1 x 8 GB,Red,0
Corsair Vengeance LPX 8 GB (1 x 8 GB) DDR4-3200 CL16,14000,DDR4-3200,1 x 8 GB,Black / Yellow,0
Silicon Power XPOWER Gaming 16 GB (2 x 8 GB) DDR4-3200 CL16,15500,DDR4-3200,2 x 8 GB,Black / Silver,0
ADATA XPG Gammix D10 16 GB (2 x 8 GB) DDR4-3200 CL16,16000,DDR4-3200,2 x 8 GB,Black,0
Patriot Viper 4 Blackout 8 GB (2 x 4 GB) DDR4-3200 CL19,14500,DDR4-3200,2 x 4 GB,Black,0
Team T-FORCE DARK Za 16 GB (2 x 8 GB) DDR4-4000 CL18,16000,DDR4-4000,2 x 8 GB,Black / Silver,0
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3200 CL16,25000,DDR4-3200,2 x 16 GB,Black,1
G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3200 CL16,19500,DDR4-3200,2 x 8 GB,Black / White,1
G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3600 CL16,35000,DDR4-3600,2 x 16 GB,Black,1
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3200 CL16,27500,DDR4-3200,2 x 16 GB,Black / Yellow,1
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-4000 CL18,34000,DDR4-4000,2 x 8 GB,Black,1
Kingston HyperX Fury 32 GB (2 x 16 GB) DDR4-3200 CL16,28000,DDR4-3200,2 x 16 GB,Black,1
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-3600 CL16,20000,DDR4-3600,2 x 8 GB,Black,1
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18,29000,DDR4-3600,2 x 16 GB,Black,1
G.Skill Trident Z Royal 32 GB (4 x 8 GB) DDR4-4000 CL15,65000,DDR4-4000,4 x 8 GB,Black,1
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-3600 CL16,32000,DDR4-3600,2 x 16 GB,Black / Silver,1
G.Skill Trident Z Neo 16 GB (2 x 8 GB) DDR4-3600 CL16,20500,DDR4-3600,2 x 8 GB,Black / Silver,1
Corsair Vengeance RGB Pro SL 32 GB (2 x 16 GB) DDR4-3600 CL18,29000,DDR4-3600,2 x 16 GB,White / Black,1
Crucial Ballistix RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,16000,DDR4-3200,2 x 8 GB,Black,1
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16,16500,DDR4-3200,2 x 8 GB,Black,1
G.Skill Ripjaws V Series 32 GB (2 x 16 GB) DDR4-3200 CL16,27500,DDR4-3200,2 x 16 GB,Black,1
G.Skill Ripjaws V Series 16 GB (2 x 8 GB) DDR4-3200 CL16,19000,DDR4-3200,2 x 8 GB,Black,1
Crucial Ballistix RGB 16 GB (2 x 8 GB) DDR4-3600 CL16,18500,DDR4-3600,2 x 8 GB,Black,1
G.Skill Trident Z Neo 64 GB (4 x 16 GB) DDR4-3600 CL16,72500,DDR4-3600,4 x 16 GB,Black / Silver,1
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3600 CL18,18500,DDR4-3600,2 x 8 GB,Black,1
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18,29500,DDR4-3600,2 x 16 GB,Black / Yellow,1
G.Skill Ripjaws X Series 16 GB (2 x 8 GB) DDR3-1866 CL10,20500,DDR3-1866,2 x 8 GB,Black,1
Avexir Green 8 GB (2 x 4 GB) DDR3-1600 CL9,15000,DDR3-1600,2 x 4 GB,Black,1
Thermaltake H-ONE 16 GB (2 x 8 GB) DDR4-3200 CL16,20000,DDR4-3200,2 x 8 GB,Black,1
Kingston HyperX Fury 16 GB (2 x 8 GB) DDR4-3200 CL16,16500,DDR4-3200,2 x 8 GB,Black,1
G.Skill Aegis 16 GB (2 x 8 GB) DDR4-3200 CL16,18000,DDR4-3200,2 x 8 GB,Red / Black,1
G.Skill Ripjaws V Series 64 GB (4 x 16 GB) DDR4-3200 CL16,4700,DDR4-3200,4 x 16 GB,Black,1
Corsair Vengeance RGB Pro 32 GB (4 x 8 GB) DDR4-3600 CL18,38500,DDR4-3600,4 x 8 GB,Black,1
Corsair Dominator Platinum RGB 64 GB (4 x 16 GB) DDR4-3600 CL18,82000,DDR4-3600,4 x 16 GB,White,1
Team T-FORCE VULCAN Z 16 GB (2 x 8 GB) DDR4-3200 CL16,19000,DDR4-3200,2 x 8 GB,Black,1
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,25000,DDR4-3200,2 x 8 GB,Black,1
Corsair Vengeance LPX 64 GB (2 x 32 GB) DDR4-3200 CL16,48000,DDR4-3200,2 x 32 GB,Black / Yellow,1
Corsair Vengeance RGB Pro 64 GB (4 x 16 GB) DDR4-3600 CL18,56000,DDR4-3600,4 x 16 GB,Black,1
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-4000 CL16,42500,DDR4-4000,2 x 16 GB,Black / Silver,1
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,45000,DDR4-3200,2 x 16 GB,Black,1
Team T-Force Delta RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,17000,DDR4-3200,2 x 8 GB,Black,1
Corsair Vengeance LPX 64 GB (4 x 16 GB) DDR4-2666 CL16,73000,DDR4-2666,4 x 16 GB,Black / Yellow,1
Team T-Force Delta RGB 32 GB (2 x 16 GB) DDR4-3600 CL18,29000,DDR4-3600,2 x 16 GB,Black,1
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-3200 CL16,19500,DDR4-3200,2 x 8 GB,Black,1
Kingston HyperX Fury 16 GB (2 x 8 GB) DDR4-2666 CL16,16500,DDR4-2666,2 x 8 GB,Black,1
G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3600 CL16,22500,DDR4-3600,2 x 8 GB,Black,1
Crucial Ballistix 32 GB (2 x 16 GB) DDR4-3200 CL16,25000,DDR4-3200,2 x 16 GB,Black,1
G.Skill Ripjaws V 64 GB (2 x 32 GB) DDR4-2666 CL18,48000,DDR4-2666,2 x 32 GB,Black,1
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3600 CL16,18500,DDR4-3600,2 x 8 GB,Black,1
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3000 CL16,14000,DDR4-3000,2 x 8 GB,Black,1
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,30000,DDR4-3600,2 x 8 GB,Black,1
G.Skill Trident Z RGB 32 GB (4 x 8 GB) DDR4-3200 CL16,56000,DDR4-3200,4 x 8 GB,Black,1
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200 CL16,16000,DDR4-3200,2 x 8 GB,Black / Yellow,1
G.Skill Trident Z Royal 32 GB (2 x 16 GB) DDR4-4000 CL18,50500,DDR4-4000,2 x 16 GB,Silver,1
Crucial Ballistix 32 GB (2 x 16 GB) DDR4-3600 CL16,26500,DDR4-3600,2 x 16 GB,Black,1
Corsair Dominator Platinum RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,34000,DDR4-3200,2 x 16 GB,Black,1
Corsair Vengeance RGB Pro 32 GB (4 x 8 GB) DDR4-3200 CL16,37000,DDR4-3200,4 x 8 GB,Black,1
ADATA XPG Z1 16 GB (2 x 8 GB) DDR4-3000 CL16,25000,DDR4-3000,2 x 8 GB,Silver / Black,1
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3000 CL16,22500,DDR4-3000,2 x 8 GB,Black,1
G.Skill Trident Z RGB 32 GB (4 x 8 GB) DDR4-3600 CL19,57500,DDR4-3600,4 x 8 GB,Black,1
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3000 CL16,15000,DDR4-3000,2 x 8 GB,Black,1
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3000 CL15,14500,DDR4-3000,2 x 8 GB,Black / Yellow,1
G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3600 CL18,23500,DDR4-3600,2 x 8 GB,Black,1
G.Skill Trident Z Royal 64 GB (4 x 16 GB) DDR4-3600 CL14,134000,DDR4-3600,4 x 16 GB,Silver,1
ADATA XPG SPECTRIX D60G 16 GB (2 x 8 GB) DDR4-3000 CL16,22500,DDR4-3000,2 x 8 GB,Black,1
Silicon Power SU016GXLZU320BDAJ6 16 GB (2 x 8 GB) DDR4-3200 CL16,15000,DDR4-3200,2 x 8 GB,Black,1
G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-4266 CL19,37500,DDR4-4266,2 x 8 GB,Multicolor,1
G.Skill Trident Z Neo 32 GB (4 x 8 GB) DDR4-3800 CL14,57000,DDR4-3800,4 x 8 GB,Black,1
Corsair Dominator Platinum RGB 32 GB (4 x 8 GB) DDR4-3600 CL16,59500,DDR4-3600,4 x 8 GB,Black,1
PNY Anarchy 16 GB (2 x 8 GB) DDR4-2400 CL15,14000,DDR4-2400,2 x 8 GB,Black,1
Kingston HyperX Fury RGB 16 GB (2 x 8 GB) DDR4-3600 CL17,18500,DDR4-3600,2 x 8 GB,Black,1
Kingston HyperX Predator 32 GB (2 x 16 GB) DDR4-3600 CL17,36000,DDR4-3600,2 x 16 GB,Black,1
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-3000 CL15,19000,DDR4-3000,2 x 8 GB,White,1
G.Skill Trident Z Royal 64 GB (2 x 32 GB) DDR4-3600 CL16,138000,DDR4-3600,2 x 32 GB,Gold,1
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3600 CL18,19000,DDR4-3600,2 x 8 GB,Black,1
G.Skill Trident Z Neo 64 GB (2 x 32 GB) DDR4-3600 CL18,72000,DDR4-3600,2 x 32 GB,Silver / Black,1
Corsair Dominator Platinum RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,24000,DDR4-3600,2 x 8 GB,Black,1
G.Skill Trident Z Royal 32 GB (4 x 8 GB) DDR4-3600 CL16,62000,DDR4-3600,4 x 8 GB,Silver,1
PNY XLR8 16 GB (2 x 8 GB) DDR4-3200 CL16,16500,DDR4-3200,2 x 8 GB,Black,1
G.Skill Trident Z RGB 64 GB (2 x 32 GB) DDR4-4000 CL18,72000,DDR4-4000,2 x 32 GB,Black,1
Corsair Vengeance 16 GB (2 x 8 GB) DDR3-1600 CL9,16000,DDR3-1600,2 x 8 GB,Black / Yellow,1
G.Skill Trident Z RGB 32 GB (4 x 8 GB) DDR4-3000 CL16,55000,DDR4-3000,4 x 8 GB,Black,1
Patriot Viper 4 8 GB (2 x 4 GB) DDR4-3000 CL16,8000,DDR4-3000,2 x 4 GB,Black / Red,1
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-4133 CL19,31000,DDR4-4133,2 x 16 GB,Black,1
Crucial Ballistix RGB 16 GB (2 x 8 GB) DDR4-3000 CL15,14500,DDR4-3000,2 x 8 GB,Black,1
G.Skill Trident Z Neo 16 GB (2 x 8 GB) DDR4-3600 CL18,22000,DDR4-3600,2 x 8 GB,Black / Silver,1
Corsair Vengeance RGB Pro SL 16 GB (2 x 8 GB) DDR4-3600 CL18,16500,DDR4-3600,2 x 8 GB,Black,1
Corsair Dominator Platinum RGB 64 GB (4 x 16 GB) DDR4-3600 CL16,80000,DDR4-3600,4 x 16 GB,Black,1
G.Skill Sniper Series 8 GB (2 x 4 GB) DDR3-1866 CL9,8500,DDR3-1866,2 x 4 GB,Black / Red,1
G.Skill Trident Z Royal 32 GB (2 x 16 GB) DDR4-3600 CL16,50000,DDR4-3600,2 x 16 GB,Silver,1
Patriot Viper Steel 16 GB (2 x 8 GB) DDR4-3600 CL17,17000,DDR4-3600,2 x 8 GB,Silver / Black,1
Corsair Vengeance LPX 8 GB (1 x 8 GB) DDR4-3200 CL16,14000,DDR4-3200,1 x 8 GB,Black / Yellow,1
