Power Supply,Power Supply Price,psu_efficiency_rating,psu_wattage,Inventory
Corsair HXi 1000 W 80+ Platinum Certified  Modular ATX,47500,80+ Platinum,1000 W,1
Fractal Design Ion+ 860 W 80+ Platinum Certified  Modular ATX,26000,80+ Platinum,860 W,1
be quiet! System Power 8 600 W 80+ Certified  Modular ATX,15400,80+,600 W,1
EVGA G2 650 W 80+ Gold Certified  Modular ATX,16000,80+ Gold,650 W,1
Thermaltake Smart Pro RGB 750 W 80+ Bronze Certified  Modular ATX,24500,80+ Bronze,750 W,1
Phanteks Revolt Pro 850 W 80+ Gold Certified  Modular ATX,28500,80+ Gold,850 W,1
Cooler Master MWE Bronze V2 550 W 80+ Bronze Certified  Modular ATX,16000,80+ Bronze,550 W,1
EVGA PS 1000 W 80+ Platinum Certified  Modular ATX,50000,80+ Platinum,1000 W,1
EVGA SuperNOVA GM 850 W 80+ Gold Certified  Modular SFX,20000,80+ Gold,850 W,1
Corsair SF 450 W 80+ Platinum Certified  Modular SFX,16000,80+ Platinum,450 W,1
Phanteks AMP 550 W 80+ Gold Certified  Modular ATX,16500,80+ Gold,550 W,1
Silverstone Strider Platinum S 1200 W 80+ Platinum Certified  Modular ATX,64000,80+ Platinum,1200 W,1
Silverstone Strider Titanium 700 W 80+ Titanium Certified  Modular ATX,40000,80+ Titanium,700 W,1
be quiet! Dark Power Pro 12 1500 W 80+ Titanium Certified  Modular ATX,88000,80+ Titanium,1500 W,1
Thermaltake Toughpower 1200 W 80+ Gold Certified  Modular ATX,38000,80+ Gold,1200 W,1
be quiet! Dark Power Pro 12 1200 W 80+ Titanium Certified  Modular ATX,74000,80+ Titanium,1200 W,1
Silverstone SX-PT 750 W 80+ Platinum Certified  Modular SFX,32500,80+ Platinum,750 W,1
ADATA XPG PYLON 550 W 80+ Bronze Certified No Modular ATX,13500,80+ Bronze,550 W,1
Deepcool DQ-M-V2L 750 W 80+ Gold Certified  Modular ATX,26500,80+ Gold,750 W,1
Thermaltake Toughpower DPS G RGB Gold 750 W 80+ Gold Certified  Modular ATX,21000,80+ Gold,750 W,1
GAMDIAS KRATOS P1 G 750 W 80+ Gold Certified  Modular ATX,18000,80+ Gold,750 W,1
FSP Group Hydro G Pro 750 W 80+ Gold Certified  Modular ATX,26500,80+ Gold,750 W,1
Enermax Revolution D.F. 750 W 80+ Gold Certified  Modular ATX,25000,80+ Gold,750 W,1
EVGA SuperNOVA GT 750 W 80+ Gold Certified  Modular ATX,24500,80+ Gold,750 W,1
SeaSonic Snow Silent 750 W 80+ Platinum Certified  Modular ATX,35000,80+ Platinum,750 W,1
Super Flower Leadex Platinum SE 1000 W 80+ Platinum Certified  Modular ATX,45000,80+ Platinum,1000 W,1
Thermaltake Toughpower Grand RGB 850 W 80+ Gold Certified  Modular ATX,26000,80+ Gold,850 W,1
Silverstone Strider 850 W 80+ Gold Certified  Modular ATX,30000,80+ Gold,850 W,1
Fractal Design Ion+ 560 W 80+ Platinum Certified  Modular ATX,15400,80+ Platinum,560 W,1
Thermaltake Toughpower GF1 PE 750 W 80+ Gold Certified  Modular ATX,20000,80+ Gold,750 W,1
SeaSonic FOCUS PX 850 W 80+ Platinum Certified  Modular ATX,48500,80+ Platinum,850 W,1
GAMDIAS Cyclops X1 P 1200 W 80+ Platinum Certified  Modular ATX,32500,80+ Platinum,1200 W,1
be quiet! Straight Power 11 750 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,750 W,1
SeaSonic FOCUS Plus Gold 550 W 80+ Gold Certified  Modular ATX,18500,80+ Gold,550 W,1
Cougar GX 800 W 80+ Gold Certified  Modular ATX,27000,80+ Gold,800 W,1
Corsair RMx (2021) 650 W 80+ Gold Certified  Modular ATX,18000,80+ Gold,650 W,1
Cooler Master Elite 460 W  Certified No Modular ATX,13000,0,460 W,1
be quiet! Dark Power Pro 11 750 W 80+ Platinum Certified  Modular ATX,42000,80+ Platinum,750 W,1
Gigabyte B-H 700 W 80+ Bronze Certified  Modular ATX,19000,80+ Bronze,700 W,1
Phanteks Revolt Pro 1000 W 80+ Gold Certified  Modular ATX,42000,80+ Gold,1000 W,1
FSP Group HEXA 85+ 350 W 80+ Bronze Certified  Modular ATX,8800,80+ Bronze,350 W,1
Thermaltake Toughpower Grand RGB 750 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,750 W,1
Corsair HX 850 W 80+ Gold Certified  Modular ATX,26000,80+ Gold,850 W,1
Silverstone SX-G 700 W 80+ Gold Certified  Modular SFX,23000,80+ Gold,700 W,1
SeaSonic PRIME PX 750 W 80+ Platinum Certified  Modular ATX,38500,80+ Platinum,750 W,1
EVGA P2 650 W 80+ Platinum Certified  Modular ATX,21000,80+ Platinum,650 W,1
Corsair RMx 550 W 80+ Gold Certified  Modular ATX,13000,80+ Gold,550 W,1
EVGA SuperNOVA G6 850 W 80+ Gold Certified  Modular ATX,28000,80+ Gold,850 W,1
Cooler Master V Gold V2 650 W 80+ Gold Certified  Modular ATX,17000,80+ Gold,650 W,1
Cooler Master MWE 600 W 80+ Bronze Certified  Modular ATX,17500,80+ Bronze,600 W,1
SeaSonic FOCUS 650 W 80+ Platinum Certified  Modular ATX,29000,80+ Platinum,650 W,1
SeaSonic FOCUS Gold 550 W 80+ Gold Certified  Modular ATX,17000,80+ Gold,550 W,1
Rosewill Capstone 550 W 80+ Gold Certified  Modular ATX,13500,80+ Gold,550 W,1
GameMax GM 800 W 80+ Bronze Certified  Modular ATX,22000,80+ Bronze,800 W,1
Cooler Master MasterWatt Lite 230V 600 W 80+ Certified  Modular ATX,14000,80+,600 W,1
EVGA SuperNOVA GM 750 W 80+ Gold Certified  Modular SFX,20000,80+ Gold,750 W,1
EVGA B2 750 W 80+ Bronze Certified  Modular ATX,20000,80+ Bronze,750 W,1
EVGA SuperNOVA 650 W 80+ Gold Certified  Modular ATX,19000,80+ Gold,650 W,1
Corsair RM 1000 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,1000 W,1
SeaSonic PRIME Platinum 750 W 80+ Platinum Certified  Modular ATX,40500,80+ Platinum,750 W,1
Thermaltake Toughpower Grand RGB 650 W 80+ Gold Certified  Modular ATX,19500,80+ Gold,650 W,1
NZXT E 850 W 80+ Gold Certified  Modular ATX,23500,80+ Gold,850 W,1
EVGA T2 1600 W 80+ Titanium Certified  Modular ATX,74000,80+ Titanium,1600 W,1
Cooler Master MWE Bronze 500 W 80+ Bronze Certified  Modular ATX,15500,80+ Bronze,500 W,1
Corsair TXM Gold 550 W 80+ Gold Certified  Modular ATX,15500,80+ Gold,550 W,1
ARESGAME AGK 850 W 80+ Gold Certified  Modular ATX,18500,80+ Gold,850 W,1
be quiet! SFX L Power 500 W 80+ Gold Certified  Modular SFX,14000,80+ Gold,500 W,1
be quiet! Straight Power 11 1000 W 80+ Gold Certified  Modular ATX,24500,80+ Gold,1000 W,1
Corsair HX 750 W 80+ Gold Certified  Modular ATX,22500,80+ Gold,750 W,1
Corsair HX 1000 W 80+ Certified  Modular ATX,33000,80+,1000 W,1
EVGA G1 1000 W 80+ Gold Certified  Modular ATX,38000,80+ Gold,1000 W,1
Silverstone Essential 750 W 80+ Gold Certified  Modular ATX,21000,80+ Gold,750 W,1
EVGA BA 600 W 80+ Bronze Certified  Modular ATX,17500,80+ Bronze,600 W,1
Rosewill HIVE 750 W 80+ Bronze Certified  Modular ATX,25700,80+ Bronze,750 W,1
Cooler Master Silent Pro Platinum 1000 W 80+ Platinum Certified  Modular ATX,33000,80+ Platinum,1000 W,1
Thermaltake Litepower 650 W  Certified No Modular ATX,19000,0,650 W,1
SilentiumPC Supremo FM2 750 W 80+ Gold Certified  Modular ATX,24500,80+ Gold,750 W,1
Thermaltake Toughpower GF2 ARGB 750 W 80+ Gold Certified  Modular ATX,20500,80+ Gold,750 W,1
Segotep GP 600 W 80+ Gold Certified  Modular ATX,18700,80+ Gold,600 W,1
SeaSonic FOCUS Gold 650 W 80+ Gold Certified  Modular ATX,21000,80+ Gold,650 W,1
EVGA B3 850 W 80+ Bronze Certified  Modular ATX,33000,80+ Bronze,850 W,1
SeaSonic FOCUS GX 550 W 80+ Gold Certified  Modular ATX,18000,80+ Gold,550 W,1
Corsair RM 850 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,850 W,1
Corsair CX (2017) 550 W 80+ Bronze Certified  Modular ATX,17000,80+ Bronze,550 W,1
be quiet! Pure Power 10 600 W 80+ Silver Certified  Modular ATX,16000,80+ Silver,600 W,1
Corsair TX 850 W 80+ Bronze Certified  Modular ATX,18500,80+ Bronze,850 W,1
be quiet! STRAIGHT POWER 10 CM 500 W 80+ Gold Certified  Modular ATX,15000,80+ Gold,500 W,1
Rosewill Capstone 650 W 80+ Gold Certified  Modular ATX,16000,80+ Gold,650 W,1
Silverstone Strider Platinum 750 W 80+ Platinum Certified  Modular ATX,29500,80+ Platinum,750 W,1
EVGA G1+ 750 W 80+ Gold Certified  Modular ATX,18300,80+ Gold,750 W,1
Rosewill Tachyon 1200 W 80+ Platinum Certified  Modular ATX,50000,80+ Platinum,1200 W,1
SeaSonic FOCUS GX 1000 W 80+ Gold Certified  Modular ATX,43000,80+ Gold,1000 W,1
Thermaltake Toughpower XT 875 W 80+ Bronze Certified  Modular ATX,34700,80+ Bronze,875 W,1
Phanteks Revolt X 1200 W 80+ Platinum Certified  Modular ATX,63000,80+ Platinum,1200 W,1
Deepcool DA-N 700 W 80+ Bronze Certified  Modular ATX,24000,80+ Bronze,700 W,1
SeaSonic FOCUS 550 W 80+ Gold Certified  Modular ATX,15000,80+ Gold,550 W,1
SeaSonic FOCUS 650 W 80+ Gold Certified  Modular ATX,19000,80+ Gold,650 W,1
Antec VP 700 W  Certified No Modular ATX,20000,0,700 W,1
Corsair RM 750 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,750 W,1
Super Flower Leadex III Gold 650 W 80+ Gold Certified  Modular ATX,26000,80+ Gold,650 W,1
Antec Earthwatts 550 W  Certified No Modular ATX,16500,0,550 W,1
SeaSonic CORE GM 650 W 80+ Gold Certified  Modular ATX,18000,80+ Gold,650 W,1
Thermaltake Toughpower iRGB PLUS 1000 W 80+ Gold Certified  Modular ATX,38000,80+ Gold,1000 W,1
Silverstone Strider 650 W 80+ Gold Certified  Modular ATX,19500,80+ Gold,650 W,1
be quiet! Straight Power 11 750 W 80+ Platinum Certified  Modular ATX,30000,80+ Platinum,750 W,1
SHARKOON SilentStorm Icewind Black 750 W 80+ Bronze Certified  Modular ATX,21500,80+ Bronze,750 W,1
be quiet! Power Zone 650 W 80+ Bronze Certified  Modular ATX,18000,80+ Bronze,650 W,1
Cooler Master MasterWatt 550 W 80+ Bronze Certified  Modular ATX,16500,80+ Bronze,550 W,1
Cooler Master V Gold 750 W 80+ Gold Certified  Modular ATX,18500,80+ Gold,750 W,1
Thermaltake TR2 600 W 80+ Gold Certified  Modular ATX,18500,80+ Gold,600 W,1
be quiet! System Power U9 500 W 80+ Bronze Certified  Modular ATX,14000,80+ Bronze,500 W,1
Corsair CXM 850 W 80+ Bronze Certified  Modular ATX,29000,80+ Bronze,850 W,1
Cooler Master i500 500 W 80+ Bronze Certified  Modular ATX,14500,80+ Bronze,500 W,1
Silverstone Strider 400 W 80+ Certified  Modular ATX,10500,80+,400 W,1
Thermaltake Smart Series 430 W 80+ Certified  Modular ATX,13900,80+,430 W,1
Corsair TX 750 W 80+ Certified  Modular ATX,18500,80+,750 W,1
Thermaltake TOUGHPOWER PF1 ARGB 850 W 80+ Platinum Certified  Modular ATX,42000,80+ Platinum,850 W,1
ADATA XPG CORE Reactor 650 W 80+ Gold Certified Fully Modular ATX,25000,80+ Gold,650 W,1
Silverstone SFX 700 W 80+ Platinum Certified  Modular SFX,28500,80+ Platinum,700 W,1
Thermaltake Toughpower GF1 650 W 80+ Gold Certified  Modular ATX,17000,80+ Gold,650 W,1
Corsair VS 550 W  Certified No Modular ATX,13500,0,550 W,1
Thermaltake Toughpower 750 W 80+ Gold Certified  Modular ATX,2000,80+ Gold,750 W,1
SeaSonic FOCUS Plus Platinum 650 W 80+ Platinum Certified  Modular ATX,28000,80+ Platinum,650 W,1
Gigabyte P-B 650 W 80+ Bronze Certified  Modular ATX,16500,80+ Bronze,650 W,1
Silverstone Strider 700 W 80+ Certified  Modular ATX,20000,80+,700 W,1
Corsair HX 1050 W 80+ Gold Certified  Modular ATX,35000,80+ Gold,1050 W,1
Rosewill ARC M450 450 W 80+ Bronze Certified  Modular ATX,12500,80+ Bronze,450 W,1
EVGA W3 450 W 80+ Certified  Modular ATX,13500,80+,450 W,1
Cooler Master MWE Bronze V2 650 W 80+ Bronze Certified  Modular ATX,18000,80+ Bronze,650 W,1
Cooler Master MWE White V2 230V 650 W 80+ Certified  Modular ATX,14500,80+,650 W,1
SeaSonic S12III 650 W 80+ Bronze Certified  Modular ATX,22000,80+ Bronze,650 W,1
Thermaltake German 630 W 80+ Certified  Modular ATX,22500,80+,630 W,1
Cooler Master V SFX Gold 650 W 80+ Gold Certified  Modular SFX,22000,80+ Gold,650 W,1
Fractal Design Ion Gold 550 W 80+ Gold Certified  Modular ATX,14000,80+ Gold,550 W,1
be quiet! Pure Power 11 FM 550 W 80+ Gold Certified  Modular ATX,14500,80+ Gold,550 W,1
Cooler Master MWE GOLD V2 650 W 80+ Gold Certified  Modular ATX,17500,80+ Gold,650 W,1
Thermaltake TOUGHPOWER PF1 ARGB 1200 W 80+ Platinum Certified  Modular ATX,53000,80+ Platinum,1200 W,1
Montech GAMMA II 750 W 80+ Gold Certified  Modular ATX,21500,80+ Gold,750 W,1
SeaSonic PRIME Platinum 1000 W 80+ Platinum Certified  Modular ATX,55000,80+ Platinum,1000 W,1
Cooler Master MasterWatt TUF Gaming Alliance 550 W 80+ Bronze Certified  Modular ATX,20000,80+ Bronze,550 W,1
Fractal Design Edison M 650 W 80+ Gold Certified  Modular ATX,16000,80+ Gold,650 W,1
Rosewill HIVE 1000 W 80+ Bronze Certified  Modular ATX,32000,80+ Bronze,1000 W,1
Thermaltake Litepower 550 W  Certified No Modular ATX,16500,0,550 W,1
be quiet! Straight Power 11 1200 W 80+ Platinum Certified  Modular ATX,36500,80+ Platinum,1200 W,1
Thermaltake Toughpower iRGB PLUS Platinum 1200 W 80+ Platinum Certified  Modular ATX,60000,80+ Platinum,1200 W,1
Sentey MBP HM 850 W 80+ Bronze Certified  Modular ATX,29000,80+ Bronze,850 W,1
EVGA BV 450 W 80+ Bronze Certified  Modular ATX,13300,80+ Bronze,450 W,1
Raidmax Scorpio 635 W 80+ Bronze Certified  Modular ATX,13800,80+ Bronze,635 W,1
KOLINK ENCLAVE 600 W 80+ Gold Certified  Modular ATX,17500,80+ Gold,600 W,1
SeaSonic X Series 1250 W 80+ Gold Certified  Modular ATX,39000,80+ Gold,1250 W,1
Thermaltake Toughpower GOLD 750 W 80+ Gold Certified  Modular ATX,20200,80+ Gold,750 W,1
Corsair CXM 500 W 80+ Bronze Certified  Modular ATX,14500,80+ Bronze,500 W,1
CoolMax ZPG-1000B 1000 W 80+ Gold Certified  Modular ATX,32000,80+ Gold,1000 W,1
KOLINK Classic Power 700 W 80+ Bronze Certified  Modular ATX,20000,80+ Bronze,700 W,1
be quiet! Pure Power 11 CM 500 W 80+ Gold Certified  Modular ATX,15500,80+ Gold,500 W,1
Rosewill LEPTON 500 W 80+ Gold Certified  Modular ATX,12500,80+ Gold,500 W,1
Enermax EPM1200EWT 1200 W 80+ Platinum Certified  Modular ATX,83500,80+ Platinum,1200 W,1
Corsair CSM 550 W 80+ Gold Certified  Modular ATX,15000,80+ Gold,550 W,1
SilentiumPC Vero L2 500 W 80+ Bronze Certified  Modular ATX,14500,80+ Bronze,500 W,1
Thermaltake Smart 600 W 80+ Certified  Modular ATX,18000,80+,600 W,1
Rosewill Fortress 450 W 80+ Platinum Certified  Modular ATX,15600,80+ Platinum,450 W,1
Gigabyte AORUS P GM 850 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,850 W,1
be quiet! Dark Power 12 850 W 80+ Titanium Certified  Modular ATX,47000,80+ Titanium,850 W,1
Thermaltake Smart BX1 RGB 750 W 80+ Bronze Certified  Modular ATX,22800,80+ Bronze,750 W,1
SeaSonic PRIME Gold 1300 W 80+ Gold Certified  Modular ATX,45200,80+ Gold,1300 W,1
Super Flower Leadex Titanium 1000 W 80+ Titanium Certified  Modular BTX,60000,80+ Titanium,1000 W,1
SeaSonic S12III 500 W 80+ Bronze Certified  Modular ATX,17500,80+ Bronze,500 W,1
Thermaltake Toughpower Grand RGB Sync Edition 650 W 80+ Gold Certified  Modular ATX,24500,80+ Gold,650 W,1
Thermaltake Toughpower iRGB PLUS Platinum 1000 W 80+ Platinum Certified  Modular ATX,51000,80+ Platinum,1000 W,1
Thermaltake Litepower 450 W  Certified No Modular ATX,14000,0,450 W,1
Apevia Signature 1050 W 80+ Bronze Certified  Modular ATX,21000,80+ Bronze,1050 W,1
SeaSonic PRIME Ultra Gold 750 W 80+ Gold Certified  Modular ATX,32000,80+ Gold,750 W,1
Silverstone Strider 600 W 80+ Certified  Modular ATX,17000,80+,600 W,1
SHARKOON SilentStorm 500 W 80+ Gold Certified  Modular SFX,15000,80+ Gold,500 W,1
Phanteks AMP 550 W 80+ Gold Certified  Modular ATX,14500,80+ Gold,550 W,1
Silverstone SFX 500 W 80+ Gold Certified  Modular SFX,18500,80+ Gold,500 W,1
Corsair AXi 860 W 80+ Platinum Certified  Modular ATX,64000,80+ Platinum,860 W,1
Cougar GX-S 650 W 80+ Gold Certified  Modular ATX,22000,80+ Gold,650 W,1
Thermaltake Toughpower Grand 1200 W 80+ Platinum Certified  Modular ATX,42500,80+ Platinum,1200 W,1
be quiet! Pure Power 11 400 W 80+ Gold Certified  Modular ATX,13000,80+ Gold,400 W,1
SeaSonic FOCUS 550 W 80+ Platinum Certified  Modular ATX,24500,80+ Platinum,550 W,1
Silverstone SFX 450 W 80+ Bronze Certified  Modular SFX,12000,80+ Bronze,450 W,1
EVGA GS 550 W 80+ Gold Certified  Modular ATX,14500,80+ Gold,550 W,1
Fractal Design Ion SFX-L 500 W 80+ Gold Certified  Modular SFX,14500,80+ Gold,500 W,1
EVGA 100-N1-0550-L1 550 W  Certified No Modular ATX,14500,0,550 W,1
BitFenix Formula Gold 450 W 80+ Gold Certified  Modular ATX,12500,80+ Gold,450 W,1
Corsair CX (2017) 750 W 80+ Bronze Certified  Modular ATX,23000,80+ Bronze,750 W,1
Corsair RMi 650 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,650 W,1
Diablotek PHD550 550 W  Certified  Modular ATX,15500,0,550 W,1
SeaSonic S12III 550 W 80+ Bronze Certified  Modular ATX,18500,80+ Bronze,550 W,1
be quiet! Straight Power 11 650 W 80+ Platinum Certified  Modular ATX,24500,80+ Platinum,650 W,1
be quiet! System Power 9 700 W 80+ Bronze Certified  Modular ATX,19000,80+ Bronze,700 W,1
Thermaltake Toughpower 1000 W 80+ Gold Certified  Modular ATX,34500,80+ Gold,1000 W,1
Cougar GX-F 750 W 80+ Gold Certified  Modular ATX,27000,80+ Gold,750 W,1
Cougar COUGAR-SX850 850 W 80+ Silver Certified  Modular ATX,27000,80+ Silver,850 W,1
SeaSonic PRIME Ultra Gold 1000 W 80+ Gold Certified  Modular ATX,48000,80+ Gold,1000 W,1
Thermaltake Toughpower Grand 750 W 80+ Gold Certified  Modular ATX,23500,80+ Gold,750 W,1
SeaSonic PRIME Ultra Gold 850 W 80+ Gold Certified  Modular ATX,37000,80+ Gold,850 W,1
XFX Core Edition 750 W 80+ Bronze Certified  Modular ATX,23000,80+ Bronze,750 W,1
Corsair G 600 W 80+ Certified  Modular ATX,17500,80+,600 W,1
GAMDIAS KRATOS E1 500 W 80+ Certified  Modular ATX,10000,80+,500 W,1
Thermaltake TR2 500 W  Certified No Modular ATX,14000,0,500 W,1
Raidmax Cobra 1000 W 80+ Gold Certified  Modular ATX,45000,80+ Gold,1000 W,1
SeaSonic X 650 W 80+ Gold Certified  Modular ATX,20000,80+ Gold,650 W,1
EVGA B3 450 W 80+ Bronze Certified  Modular ATX,24500,80+ Bronze,450 W,1
Antec Earthwatts Gold Pro 750 W  Certified Semi Modular ATX,17500,0,750 W,1
EVGA PQ 850 W 80+ Platinum Certified  Modular ATX,38000,80+ Platinum,850 W,1
Super Flower Leadex III Super Pro 650 W 80+ Bronze Certified  Modular ATX,23000,80+ Bronze,650 W,1
LEPA G Series 1600 W 80+ Gold Certified  Modular ATX,52000,80+ Gold,1600 W,1
EVGA G1 750 W 80+ Gold Certified  Modular ATX,21000,80+ Gold,750 W,1
Corsair TX 850 W 80+ Certified  Modular ATX,21000,80+,850 W,1
SeaSonic PRIME 750 W 80+ Gold Certified  Modular ATX,38500,80+ Gold,750 W,1
Corsair AXi 1500 W 80+ Titanium Certified  Modular ATX,122000,80+ Titanium,1500 W,1
SeaSonic X 850 W 80+ Gold Certified  Modular ATX,29000,80+ Gold,850 W,1
Silverstone Strider Gold S V2 850 W 80+ Gold Certified  Modular ATX,32000,80+ Gold,850 W,1
Cooler Master V Gold V2 550 W 80+ Gold Certified  Modular ATX,14500,80+ Gold,550 W,1
be quiet! System Power U9 600 W 80+ Bronze Certified  Modular ATX,16000,80+ Bronze,600 W,1
Silverstone Essential 550 W 80+ Gold Certified  Modular ATX,16000,80+ Gold,550 W,1
Apevia ATX-AS600W-BL 600 W  Certified No Modular ATX,15000,0,600 W,1
Athena Power AP-MFATX40 400 W 80+ Bronze Certified  Modular Mini ITX,8900,80+ Bronze,400 W,1
SeaSonic PRIME Ultra Platinum 750 W 80+ Platinum Certified  Modular ATX,41500,80+ Platinum,750 W,1
Corsair VS 650 W 80+ Certified  Modular ATX,18500,80+,650 W,1
OCZ Fatal1ty 550 W 80+ Bronze Certified  Modular ATX,13500,80+ Bronze,550 W,1
Corsair CXM V2 (2017) 850 W 80+ Bronze Certified  Modular ATX,28500,80+ Bronze,850 W,1
SeaSonic S12II 350 W 80+ Bronze Certified  Modular ATX,32000,80+ Bronze,350 W,1
Xigmatek NRP-PC602 600 W 80+ Bronze Certified  Modular ATX,19000,80+ Bronze,600 W,1
Super Flower Leadex Gold 1000 W 80+ Gold Certified  Modular ATX,37500,80+ Gold,1000 W,1
SeaSonic SS-750HT Silver 750 W 80+ Silver Certified  Modular ATX,19500,80+ Silver,750 W,1
Corsair CSM 750 W 80+ Gold Certified  Modular ATX,22000,80+ Gold,750 W,1
Cooler Master V1000 1000 W 80+ Gold Certified  Modular ATX,28500,80+ Gold,1000 W,1
ARESGAME AGS 750 W 80+ Gold Certified  Modular ATX,15000,80+ Gold,750 W,1
Corsair HX 620 W 80+ Certified  Modular ATX,18500,80+,620 W,1
Raidmax Cobra 1200 W 80+ Gold Certified  Modular ATX,53000,80+ Gold,1200 W,1
Corsair RM 650 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,650 W,1
Thermaltake TOUGHPOWER PF1 ARGB 1050 W 80+ Platinum Certified  Modular ATX,48000,80+ Platinum,1050 W,1
Apex AG-M 750 W 80+ Gold Certified  Modular ATX,16000,80+ Gold,750 W,1
Silverstone SFX 600 W 80+ Gold Certified  Modular SFX,22000,80+ Gold,600 W,1
SeaSonic FOCUS 750 W 80+ Gold Certified  Modular ATX,26000,80+ Gold,750 W,1
Corsair AX 760 W 80+ Platinum Certified  Modular ATX,38000,80+ Platinum,760 W,1
be quiet! Straight Power 11 550 W 80+ Platinum Certified  Modular ATX,20000,80+ Platinum,550 W,1
Super Flower Leadex III ARGB 850 W 80+ Gold Certified  Modular ATX,33000,80+ Gold,850 W,1
Cooler Master Silent Pro M2 720 W 80+ Bronze Certified  Modular ATX,16800,80+ Bronze,720 W,1
EVGA BT 450 W 80+ Bronze Certified  Modular ATX,13300,80+ Bronze,450 W,1
Corsair GS 600 W 80+ Bronze Certified  Modular ATX,17500,80+ Bronze,600 W,1
Silverstone Strider Platinum 550 W 80+ Platinum Certified  Modular ATX,21000,80+ Platinum,550 W,1
be quiet! System Power 9 500 W 80+ Bronze Certified  Modular ATX,16000,80+ Bronze,500 W,1
EVGA SuperNOVA T2 850 W 80+ Titanium Certified  Modular ATX,39000,80+ Titanium,850 W,1
EVGA B5 850 W 80+ Bronze Certified  Modular ATX,26000,80+ Bronze,850 W,1
Silverstone Strider 750 W 80+ Gold Certified  Modular ATX,24500,80+ Gold,750 W,1
Corsair TX 650 W 80+ Certified  Modular ATX,17000,80+,650 W,1
Cooler Master Elite V3 600 W 80+ Certified  Modular ATX,15000,80+,600 W,1
Thermaltake TR2 700 W 80+ Certified  Modular ATX,19300,80+,700 W,1
SeaSonic PRIME Titanium 750 W 80+ Titanium Certified  Modular ATX,43500,80+ Titanium,750 W,1
Thermaltake Smart Pro RGB 850 W 80+ Bronze Certified  Modular ATX,28000,80+ Bronze,850 W,1
Cooler Master MasterWatt Lite 230V 500 W 80+ Certified  Modular ATX,12000,80+,500 W,1
Silverstone Strider 750 W 80+ Silver Certified  Modular ATX,21500,80+ Silver,750 W,1
Thermaltake TR2 RX 850 W 80+ Bronze Certified  Modular ATX,25000,80+ Bronze,850 W,1
Thermaltake Toughpower PF1 750 W 80+ Platinum Certified  Modular ATX,33000,80+ Platinum,750 W,1
Silverstone SFX 450 W 80+ Gold Certified  Modular SFX,13500,80+ Gold,450 W,1
SeaSonic M12II 520 W 80+ Bronze Certified  Modular ATX,13800,80+ Bronze,520 W,1
ARESGAME AGS 750 W 80+ Gold Certified  Modular ATX,18500,80+ Gold,750 W,1
Ultra LSP750 750 W  Certified No Modular ATX,22000,0,750 W,1
SeaSonic Platinum 860 W 80+ Platinum Certified  Modular ATX,33000,80+ Platinum,860 W,1
KOLINK ENCLAVE 700 W 80+ Gold Certified  Modular ATX,19500,80+ Gold,700 W,1
Corsair HX 650 W 80+ Gold Certified  Modular ATX,19500,80+ Gold,650 W,1
GameMax GM 300 W 80+ Bronze Certified  Modular ATX,6900,80+ Bronze,300 W,1
SeaSonic Core GC 650 W 80+ Gold Certified  Modular ATX,18500,80+ Gold,650 W,1
In Win P 750 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,750 W,1
G.Skill RIPJAWS Gold 750 W 80+ Gold Certified  Modular ATX,17000,80+ Gold,750 W,1
Thermaltake Toughpower PF1 850 W 80+ Platinum Certified  Modular ATX,40000,80+ Platinum,850 W,1
SeaSonic FOCUS SGX 500 W 80+ Gold Certified  Modular SFX,14500,80+ Gold,500 W,1
SilentiumPC Supremo FM2 650 W 80+ Gold Certified  Modular ATX,20000,80+ Gold,650 W,1
Thermaltake Toughpower PF1 650 W 80+ Platinum Certified  Modular ATX,27000,80+ Platinum,650 W,1
Cooler Master GM 550 W 80+ Bronze Certified  Modular ATX,13000,80+ Bronze,550 W,1
GameMax RGB Rainbow 1050 W 80+ Gold Certified  Modular ATX,32000,80+ Gold,1050 W,1
Thermaltake TR2 600 W  Certified No Modular ATX,17000,0,600 W,1
Cougar SL600 600 W  Certified No Modular ATX,20000,0,600 W,1
SeaSonic G 360 W 80+ Gold Certified  Modular ATX,8700,80+ Gold,360 W,1
FSP Group Dagger Pro 650 W 80+ Gold Certified  Modular SFX,17000,80+ Gold,650 W,1
SeaSonic M12II 430 W 80+ Bronze Certified  Modular ATX,11500,80+ Bronze,430 W,1
EVGA B2 850 W 80+ Bronze Certified  Modular ATX,24500,80+ Bronze,850 W,1
Super Flower Legion GX Pro 650 W 80+ Gold Certified  Modular ATX,24500,80+ Gold,650 W,1
SeaSonic PRIME Titanium 1000 W 80+ Titanium Certified  Modular ATX,56500,80+ Titanium,1000 W,1
be quiet! Pure Power 11 350 W 80+ Bronze Certified  Modular ATX,12000,80+ Bronze,350 W,1
