Power Supply,Power Supply Price,psu_efficiency_rating,psu_wattage,Inventory
EVGA G3 850 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,850 W,1
Cooler Master Silent Pro Gold 1000 W 80+ Gold Certified  Modular ATX,21000,80+ Gold,1000 W,1
Corsair AXi 1200 W 80+ Platinum Certified  Modular ATX,68000,80+ Platinum,1200 W,1
EVGA BQ 600 W 80+ Bronze Certified  Modular ATX,17200,80+ Bronze,600 W,1
EVGA 600B 600 W 80+ Bronze Certified  Modular ATX,17000,80+ Bronze,600 W,1
EVGA BQ 850 W 80+ Bronze Certified  Modular ATX,25000,80+ Bronze,850 W,1
Corsair SF 600 W 80+ Platinum Certified  Modular SFX,26000,80+ Platinum,600 W,1
Silverstone SX-LPT 1000 W 80+ Platinum Certified  Modular SFX,47500,80+ Platinum,1000 W,1
Cooler Master MWE GOLD V2 850 W 80+ Gold Certified  Modular ATX,23500,80+ Gold,850 W,1
Lian Li SP 750 W 80+ Gold Certified  Modular SFX,22500,80+ Gold,750 W,1
Corsair RMx 750 W 80+ Gold Certified  Modular ATX,20000,80+ Gold,750 W,1
Corsair AX 750 W 80+ Gold Certified  Modular ATX,27500,80+ Gold,750 W,1
be quiet! SFX L Power 600 W 80+ Gold Certified  Modular SFX,16500,80+ Gold,600 W,1
Cooler Master V850 850 W 80+ Gold Certified  Modular ATX,28500,80+ Gold,850 W,1
Cooler Master V SFX Gold 750 W 80+ Gold Certified  Modular SFX,26000,80+ Gold,750 W,1
EVGA G3 550 W 80+ Gold Certified  Modular ATX,13500,80+ Gold,550 W,1
Corsair RMx (2021) 1000 W 80+ Gold Certified  Modular ATX,34000,80+ Gold,1000 W,1
SeaSonic FOCUS GX 650 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,650 W,1
EVGA G1 650 W 80+ Gold Certified  Modular ATX,18000,80+ Gold,650 W,1
EVGA SuperNOVA GM 650 W 80+ Gold Certified  Modular SFX,20000,80+ Gold,650 W,1
EVGA GD 650 W 80+ Gold Certified  Modular ATX,18000,80+ Gold,650 W,1
