Storage,Storage Price,storage_capacity,storage_type,storage_form_factor,Inventory
Seagate Barracuda 7200.12 500 GB,17000,500 GB,7200RPM,"3.5""",0
Kingston KC600 256 GB,9200,256 GB,SSD,"2.5""",0
Seagate IronWolf Pro 6 TB,33000,6 TB,7200RPM,"3.5""",0
Seagate Constellation ES 2 TB,25000,2 TB,7200RPM,"3.5""",0
Western Digital Scorpio Black 320 GB,3000,320 GB,7200RPM,"2.5""",0
OCZ TRION 150 960 GB,23000,960 GB,SSD,"2.5""",0
Gigabyte UD PRO 512 GB,14000,512 GB,SSD,"2.5""",0
PNY CS900 500 GB,13000,500 GB,SSD,"2.5""",0
Inland Professional 120 GB,3500,120 GB,SSD,"2.5""",0
Kingston SSDNow UV400 240 GB,3300,240 GB,SSD,"2.5""",0
Team MS30 512 GB,15000,512 GB,SSD,M.2-2242,0
Seagate Momentus LP 1 TB,10000,1 TB,5400RPM,"2.5""",0
Seagate BarraCuda Pro 8 TB,63000,8 TB,7200RPM,"3.5""",0
PNY CS900 250 GB,4000,250 GB,SSD,"2.5""",0
Western Digital Red 14 TB,62000,14 TB,5400RPM,"3.5""",0
Silicon Power Ace A55 256 GB,6800,256 GB,SSD,"2.5""",0
PNY CS900 120 GB,2200,120 GB,SSD,"2.5""",0
Gigabyte GP-GSTFS31240GNTD 240 GB,4800,240 GB,SSD,"2.5""",0
Kingston KC2500 1 TB,27500,1 TB,SSD,M.2-2280,0
Seagate EXOS Enterprise X18 18 TB,92000,18 TB,7200RPM,"3.5""",0
Toshiba MD03ACA-V 3 TB,21000,3 TB,7200RPM,"3.5""",0
Western Digital BLACK SERIES 4 TB,74000,4 TB,7200RPM,"3.5""",0
Team MP34 1 TB,24700,1 TB,SSD,M.2-2280,0
SanDisk SSD PLUS 240 GB,5000,240 GB,SSD,"2.5""",0
Team MP33 256 GB,12000,256 GB,SSD,M.2-2280,0
Corsair MP510 480 GB,13000,480 GB,SSD,M.2-2280,0
Seagate IronWolf NAS 10 TB,73000,10 TB,7200RPM,"3.5""",0
Hitachi Ultrastar 7K3000 3 TB,25000,3 TB,7200RPM,"3.5""",0
Seagate Momentus 7200.4 250 GB,1800,250 GB,7200RPM,"2.5""",0
Samsung 860 Pro 512 GB,14000,512 GB,SSD,"2.5""",0
Crucial M4 512 GB,13500,512 GB,SSD,"2.5""",0
Toshiba DT01ACA200 2 TB,29000,2 TB,7200RPM,"3.5""",0
Sabrent Rocket HTSK 4.0 2 TB,48000,2 TB,SSD,M.2-2280,0
Western Digital Green 480 GB,6500,480 GB,SSD,"2.5""",0
ADATA SU635 480 GB,13000,480 GB,SSD,"2.5""",0
SanDisk Ultra 3D 500 GB,17000,500 GB,SSD,"2.5""",0
Team CARDEA ZERO Z440 1 TB,24700,1 TB,SSD,M.2-2280,0
ADATA XPG SPECTRIX S40G RGB 2 TB,46500,2 TB,SSD,M.2-2280,0
ADATA Swordfish 250 GB,10500,250 GB,SSD,M.2-2280,0
Samsung 870 QVO 8 TB,120000,8 TB,SSD,"2.5""",0
ADATA Ultimate SU800 1 TB,24000,1 TB,SSD,"2.5""",0
Seagate IronWolf Pro 16 TB,61000,16 TB,7200RPM,"3.5""",0
Western Digital Blue SN500 500 GB,5000,500 GB,SSD,M.2-2280,0
Corsair MP300 960 GB,21000,960 GB,SSD,M.2-2280,0
Seagate IronWolf NAS 1 TB,12000,1 TB,5900RPM,"3.5""",0
Gigabyte AORUS Gen4 7000s 2 TB,39500,2 TB,SSD,M.2-2280,0
Pioneer APS-SE20G 2 TB,48000,2 TB,SSD,M.2-2280,0
Seagate BarraCuda 5 TB,53000,5 TB,5400RPM,"2.5""",0
Samsung 840 EVO 500 GB,16500,500 GB,SSD,"2.5""",0
ADATA Premier SP550 240 GB,6200,240 GB,SSD,"2.5""",0
Toshiba DT01ACA200 2 TB,47500,2 TB,7200RPM,"3.5""",0
Samsung 850 EVO 1 TB,26500,1 TB,SSD,mSATA,0
Mushkin Enhanced RAW 1 TB,27500,1 TB,SSD,"2.5""",0
Team CX2 512 GB,15000,512 GB,SSD,"2.5""",0
ADATA XPG GAMMIX S7 2 TB,45000,2 TB,SSD,M.2-2280,0
ADATA XPG SPECTRIX S40G RGB 512 GB,14500,512 GB,SSD,M.2-2280,0
Seagate Pipeline HD 500 GB,17000,500 GB,5900RPM,"3.5""",0
Corsair MP600 Core 4 TB,75000,4 TB,SSD,M.2-2280,0
Team CX2 1 TB,24700,1 TB,SSD,"2.5""",0
Inland Platinum 4 TB,78000,4 TB,SSD,M.2-2280,0
Western Digital Gold 10 TB,48000,10 TB,7200RPM,"3.5""",0
Toshiba X300 8 TB,38000,8 TB,7200RPM,"3.5""",0
Western Digital Purple 10 TB,50000,10 TB,7200RPM,"3.5""",0
Seagate IronWolf Pro 10 TB,44000,10 TB,7200RPM,"3.5""",0
PNY CS2130 1 TB,27500,1 TB,SSD,M.2-2280,0
Hitachi Deskstar 7K4000 4 TB,78000,4 TB,7200RPM,"3.5""",0
Seagate IronWolf NAS 6 TB,33000,6 TB,7200RPM,"3.5""",0
Western Digital Black 512 GB,7200,512 GB,SSD,M.2-2280,0
SanDisk SSD PLUS 120 GB,2000,120 GB,SSD,"2.5""",0
Western Digital Red 6 TB,40000,6 TB,5400RPM,"3.5""",0
Western Digital Caviar Green 1.5 TB,15000,1.5 TB,5400RPM,"3.5""",0
Corsair MP510 1.92 TB,38500,1.92 TB,SSD,M.2-2280,0
Western Digital VelociRaptor 300 GB,5000,300 GB,10000RPM,"2.5""",0
Toshiba P300 2 TB,47500,2 TB,7200RPM,"3.5""",0
Team AX2 1 TB,24700,1 TB,SSD,"2.5""",0
Samsung 960 Pro 1 TB,26500,1 TB,SSD,M.2-2280,0
Addlink S70 1 TB,23500,1 TB,SSD,M.2-2280,0
Silicon Power UD70 2 TB,24700,2 TB,SSD,M.2-2280,0
Team AX2 512 GB,15000,512 GB,SSD,"2.5""",0
HP EX920 1 TB,27500,1 TB,SSD,M.2-2280,0
Kingston SSDNow V300 Series 120 GB,1800,120 GB,SSD,"2.5""",0
Western Digital BLACK SERIES 750 GB,20000,750 GB,7200RPM,"2.5""",0
Seagate Enterprise Capacity 3 TB,27000,3 TB,7200RPM,"3.5""",0
Team L5 LITE 3D 480 GB,24700,480 GB,SSD,"2.5""",0
ADATA XPG SX8000 256 GB,10000,256 GB,SSD,M.2-2280,0
Intel 600p Series 1 TB,27500,1 TB,SSD,M.2-2280,0
Silicon Power A55 1 TB,15000,1 TB,SSD,"2.5""",0
Intenso Top Performance 256 GB,9200,256 GB,SSD,M.2-2280,0
Intel 760p Series 1 TB,27500,1 TB,SSD,M.2-2280,0
Crucial MX300 750 GB,15000,750 GB,SSD,"2.5""",0
Gigabyte AORUS Gen4 500 GB,16500,500 GB,SSD,M.2-2280,0
Silicon Power P34A60 512 GB,12800,512 GB,SSD,M.2-2280,0
Seagate EXOS Enterprise 16 TB,80000,16 TB,7200RPM,"3.5""",0
Seagate FireCuda Compute 2 TB,59000,2 TB,Hybrid,"2.5""",0
PNY CS900 240 GB,3800,240 GB,SSD,"2.5""",0
Western Digital WD Red Plus 8 TB,60000,8 TB,7200RPM,"3.5""",0
Team GX2 512 GB,15000,512 GB,SSD,"2.5""",0
Silicon Power A80 2 TB,37000,2 TB,SSD,M.2-2280,0
Intel 320 Series 40 GB,1200,40 GB,SSD,"2.5""",0
Micron 1100 2 TB,48000,2 TB,SSD,"2.5""",0
Western Digital Caviar Green 3 TB,20000,3 TB,5400RPM,"3.5""",0
Hitachi Ultrastar 7K4000 2 TB,48000,2 TB,7200RPM,"3.5""",0
PNY CS900 1 TB,27500,1 TB,SSD,"2.5""",0
Toshiba XG5 512 GB,8000,512 GB,SSD,M.2-2280,0
Western Digital RE4 1 TB,18000,1 TB,7200RPM,"3.5""",0
Hitachi Deskstar 3 TB,60000,3 TB,7200RPM,"3.5""",0
Gigabyte AORUS Gen4 7000s 1 TB,23500,1 TB,SSD,M.2-2280,0
Samsung Data Center 960 GB,26000,960 GB,SSD,"2.5""",0
SanDisk Ultra II 960 GB,26000,960 GB,SSD,"2.5""",0
XPG GAMMIX S10 512 GB,13700,512 GB,SSD,M.2-2280,0
Samsung 860 Pro 4 TB,75000,4 TB,SSD,"2.5""",0
Sabrent Rocket 256 GB,9200,256 GB,SSD,M.2-2280,0
Silicon Power P34A80 512 GB,12800,512 GB,SSD,M.2-2280,0
Samsung Spinpoint F3 750 GB,24000,750 GB,7200RPM,"3.5""",0
Seagate IronWolf Pro 8 TB,36000,8 TB,7200RPM,"3.5""",0
ADATA Ultimate SU800 256 GB,16000,256 GB,SSD,"2.5""",0
Mushkin ECO3 240 GB,4000,240 GB,SSD,"2.5""",0
Silicon Power Slim S55 240 GB,24700,240 GB,SSD,"2.5""",0
Toshiba XG5 1 TB,18000,1 TB,SSD,M.2-2280,0
SanDisk X400 256 GB,9200,256 GB,SSD,"2.5""",0
Samsung SM961 1 TB,24700,1 TB,SSD,M.2-2280,0
Western Digital Gold 6 TB,42000,6 TB,7200RPM,"3.5""",0
Toshiba Product Series:MG03ACA 2 TB,29000,2 TB,7200RPM,"3.5""",0
ADATA Swordfish 1 TB,28000,1 TB,SSD,M.2-2280,0
Samsung 840 Pro Series 512 GB,14000,512 GB,SSD,"2.5""",0
Samsung 850 Pro Series 512 GB,14000,512 GB,SSD,"2.5""",0
Seagate Barracuda Compute 6 TB,50000,6 TB,5400RPM,"3.5""",0
Samsung Spinpoint F3 500 GB,18500,500 GB,7200RPM,"3.5""",0
Western Digital Scorpio Black 160 GB,1700,160 GB,7200RPM,"2.5""",0
Intel 530 Series 120 GB,2000,120 GB,SSD,"2.5""",0
Seagate Barracuda XT 3 TB,20000,3 TB,7200RPM,"3.5""",0
Sabrent Rocket Q 4 TB,78000,4 TB,SSD,M.2-2280,0
Sabrent Rocket HTSK 4.0 1 TB,26500,1 TB,SSD,M.2-2280,0
Toshiba HDETR11 4 TB,32000,4 TB,7200RPM,"3.5""",0
ADATA XPG SX6000 128 GB,5700,128 GB,SSD,M.2-2280,0
Western Digital SN520 512 GB,8400,512 GB,SSD,M.2-2280,0
Samsung PM981 256 GB,9200,256 GB,SSD,M.2-2280,0
Seagate EXOS Enterprise 4 TB,30000,4 TB,7200RPM,"3.5""",0
Seagate SkyHawk 2 TB,24000,2 TB,5900RPM,"3.5""",0
Western Digital WD Green 1 TB,17000,1 TB,5400RPM,"3.5""",0
SanDisk EXTREME PRO 500 GB,17000,500 GB,SSD,M.2-2280,0
Samsung 850 EVO 500 GB,16500,500 GB,SSD,M.2-2280,0
Team T-Force Cardea 1 TB,24700,1 TB,SSD,M.2-2280,0
Seagate Constellation ES.3 1 TB,34000,1 TB,7200RPM,"3.5""",0
PNY XLR8 CS3030 2 TB,48000,2 TB,SSD,M.2-2280,0
Samsung XP941 Series 512 GB,14000,512 GB,SSD,M.2-2280,0
Western Digital Green 120 GB,1900,120 GB,SSD,"2.5""",0
ADATA XPG GAMMIX S11 Pro 512 GB,15000,512 GB,SSD,M.2-2280,0
Western Digital Caviar Green 500 GB,14000,500 GB,5400RPM,"3.5""",0
Crucial M500 240 GB,7000,240 GB,SSD,"2.5""",0
Silicon Power P34A60 512 GB,14000,512 GB,SSD,M.2-2280,0
Seagate IronWolf 6 TB,30000,6 TB,7200RPM,"3.5""",0
Samsung 850 EVO 2 TB,48000,2 TB,SSD,"2.5""",0
Western Digital Red 8 TB,45000,8 TB,5400RPM,"3.5""",0
Samsung 860 Pro 2 TB,48000,2 TB,SSD,"2.5""",0
Hitachi Deskstar 2 TB,48000,2 TB,7200RPM,"3.5""",0
ADATA Falcon 1 TB,27000,1 TB,SSD,M.2-2280,0
ADATA XPG SPECTRIX S40G RGB 4 TB,80000,4 TB,SSD,M.2-2280,0
Mushkin Pilot-E 1 TB,27500,1 TB,SSD,M.2-2280,0
Seagate Momentus 1 TB,10000,1 TB,5400RPM,"2.5""",0
Hitachi Deskstar 250 GB,6000,250 GB,7200RPM,"3.5""",0
Seagate Exos X14 14 TB,64000,14 TB,7200RPM,"3.5""",0
Addlink X70 1 TB,23500,1 TB,SSD,M.2-2280,0
Toshiba Product Series:DT01ACA 1 TB,24000,1 TB,7200RPM,"3.5""",0
Silicon Power A80 512 GB,14000,512 GB,SSD,M.2-2280,0
ADATA Ultimate SU800 128 GB,10000,128 GB,SSD,"2.5""",0
Hitachi Ultrastar A7K2000 1 TB,27500,1 TB,7200RPM,"3.5""",0
Western Digital WD SE 4 TB,38000,4 TB,7200RPM,"3.5""",0
Seagate IronWolf Pro 14 TB,56000,14 TB,7200RPM,"3.5""",0
Western Digital Caviar Black 500 GB,4000,500 GB,7200RPM,"3.5""",0
Samsung Spinpoint F3 1 TB,24700,1 TB,7200RPM,"3.5""",0
Corsair MP400 8 TB,145000,8 TB,SSD,M.2-2280,0
Sabrent Rocket Q4 1 TB,26500,1 TB,SSD,M.2-2280,0
Toshiba N300 4 TB,32000,4 TB,7200RPM,"3.5""",0
Corsair MP400 1 TB,22000,1 TB,SSD,M.2-2280,0
ADATA Swordfish 2 TB,46000,2 TB,SSD,M.2-2280,0
Silicon Power US70 2 TB,24700,2 TB,SSD,M.2-2280,0
Samsung 980 250 GB,4800,250 GB,SSD,M.2-2280,0
Seagate Constellation ES.2 3 TB,26500,3 TB,7200RPM,"3.5""",0
Seagate Pipeline HD 2 TB,24000,2 TB,5900RPM,"3.5""",0
Western Digital Green 2 TB,26000,2 TB,5900RPM,"2.5""",0
Seagate IronWolf NAS 12 TB,80000,12 TB,7200RPM,"3.5""",0
HP EX920 512 GB,14000,512 GB,SSD,M.2-2280,0
Seagate Exos X14 12 TB,58000,12 TB,7200RPM,"3.5""",0
Intel 330 Series 120 GB,2000,120 GB,SSD,"2.5""",0
Toshiba DT01ACA050 500 GB,17000,500 GB,7200RPM,"3.5""",0
Inland Professional 512 GB,14000,512 GB,SSD,M.2-2280,0
Samsung Spinpoint MP4 500 GB,18500,500 GB,7200RPM,"2.5""",0
Seagate Constellation.2 1 TB,21000,1 TB,7200RPM,"2.5""",0
Patriot VPN100 2 TB,48000,2 TB,SSD,M.2-2280,0
Toshiba S300 10 TB,47500,10 TB,7200RPM,"3.5""",0
Seagate SkyHawk 4 TB,40000,4 TB,5900RPM,"3.5""",0
ADATA XPG SX8200 Pro 256 GB,8900,256 GB,SSD,M.2-2280,0
Inland 349365 240 GB,8000,240 GB,SSD,"2.5""",0
TCSunBow X3 1 TB,24700,1 TB,SSD,"2.5""",0
